DomainLabel,HierarchyCode,Name,Level,Description,Structure,FromReportingDate,ToReportingDate,DomainCode,MemberCode,taxonomycode
"Accounting items","new_AC1(qAC)","Institution liabilities <7 days",1,," Institution liabilities <7 days ","2015-04-01",,"qAI","qx2257","RES 4.2"
"Accounting items","new_AC1(qAC)","o/w instruments ranking  pari passu with ordinary shares",1,," o/w instruments ranking  pari passu with ordinary shares ","2015-04-01",,"qAI","qx2260","RES 4.2"
"Accounting items","new_AI82(qAI)","Funds for general banking risks",1,," Funds for general banking risks ","2015-04-01",,"qAI","qx2063","RES 4.2"
"Accounting items","new_AI82(qAI)","Pending legal issues and tax litigation",1,," Pending legal issues and tax litigation ","2015-04-01",,"qAI","qx2120","RES 4.2"
"Accounting items","qAF_3(qAF)","Uncollateralised secured liabilities",1,," Uncollateralised secured liabilities ","2015-04-01",,"qAI","qx2242","RES 4.2"
"Accounting items & Own funds","AO_1(qAO)","Approach for calculating the Financial component (FC)",,"Hierarchy used as a drop down list, institutions reporting here if they have used the accounting approach or the PBA approach when computing the FC",,"2015-04-01",,"qAO",,"COREP 4.0"
"Accounting items & Own funds","AO_1(qAO)","Prudential Boundary Approach",1,," Prudential Boundary Approach ","2015-04-01",,"qAO","qx2023","PILLAR3 4.2"
"Accounting standard","new_AS3(qAS)","Accounting standard",,,,"2015-04-01",,"qAS",,"AE 4.2"
"Accounting standard","new_AS3(qAS)","Accounting standard",,,,"2015-04-01",,"qAS",,"COREP 4.2"
"Accounting standard","new_AS3(qAS)","Accounting standard",,,,"2015-04-01",,"qAS",,"PILLAR3 4.2"
"Accounting standard","new_AS3(qAS)","National GAAP",1,," National GAAP ","2015-04-01",,"qAS","qx2005","AE 4.2"
"Accounting standard","new_AS3(qAS)","National GAAP",1,," National GAAP ","2015-04-01",,"qAS","qx2005","COREP 4.2"
"Accounting standard","new_AS3(qAS)","National GAAP",1,," National GAAP ","2015-04-01",,"qAS","qx2005","PILLAR3 4.2"
"AI, FI","qAF_3(qAF)","Other MREL eligible liabilities",1,," Other MREL eligible liabilities ","2015-04-01",,"qAF","qx2005","RES 4.2"
"AI, FI","qAF_3(qAF)","Type of liabilities RESOL",,,,"2015-04-01",,"qAF",,"RES 4.2"
"Approach","AP16(AP)","Approach used for the purpose of the SOT (NII/EVE) - Simplified SA",1,," Approach used for the purpose of the SOT (NII/EVE) - Simplified SA ","2015-04-01",,"AP","x264","IRRBB 4.2"
"Accounting items","FA_agg_2(qFA)","Senior non-preferred liabilities",1,," Senior non-preferred liabilities ","2015-04-01",,"qAI","qx2240","RES 4.2"
"Accounting items","FA_agg_2(qFA)","Subordinated liabilities (not recognised as own funds)",1,," Subordinated liabilities (not recognised as own funds) ","2015-04-01",,"qAI","qx2239","RES 4.2"
"Accounting items","FA_agg_2(qFA)","Uncollateralised secured liabilities",1,," Uncollateralised secured liabilities ","2015-04-01",,"qAI","qx2242","RES 4.2"
"Accounting items","FA_agg_2(qFA)","Unlimited Guarantees",1,," Unlimited Guarantees ","2015-04-01",,"qAI","qx2276","RES 4.2"
"Accounting items","new_AC1(qAC)","Non-financial liabilities",1,," Non-financial liabilities ","2015-04-01",,"qAI","qx2238","RES 4.2"
"Accounting items","new_AC1(qAC)","o/w capital instruments/share capital",1,," o/w capital instruments/share capital ","2015-04-01",,"qAI","qx2250","RES 4.2"
"Accounting items","new_AC1(qAC)","Senior non-preferred liabilities",1,," Senior non-preferred liabilities ","2015-04-01",,"qAI","qx2240","RES 4.2"
"Accounting items","new_AC1(qAC)","Senior unsecured liabilities",1,," Senior unsecured liabilities ","2015-04-01",,"qAI","qx2241","RES 4.2"
"Accounting items","new_AC1(qAC)","Sum of net liability positions taking into account contractual netting sets, after mark-to-market adjustments, post collateral offset",1,," Sum of net liability positions taking into account contractual netting sets, after mark-to-market adjustments, post collateral offset ","2015-04-01",,"qAI","qx2406","RES 4.2"
"Accounting items","new_AI186(qAI)","Intellectual property (such as patents, trademarks, etc.)",1,," Intellectual property (such as patents, trademarks, etc.) ","2015-04-01",,"qAI","qx2398","RES 4.2"
"Accounting items","new_AI186(qAI)","IT and communication hardware",1,," IT and communication hardware ","2015-04-01",,"qAI","qx2395","RES 4.2"
"Accounting items","new_AI186(qAI)","Other type of asset",1,," Other type of asset ","2015-04-01",,"qAI","qx2400","RES 4.2"
"Accounting items","new_AI82(qAI)","Pension and other post-employment defined benefit obligations",1,," Pension and other post-employment defined benefit obligations ","2015-04-01",,"qAI","qx2271","RES 4.2"
"Accounting items","FA_agg_2(qFA)","Non-financial liabilities",1,," Non-financial liabilities ","2015-04-01",,"qAI","qx2238","RES 4.2"
"Accounting items","new_AC1(qAC)","Fiduciary liabilities, if protected in insolvency",1,," Fiduciary liabilities, if protected in insolvency ","2015-04-01",,"qAI","qx2401","RES 4.2"
"Accounting items","new_AC1(qAC)","Liabilities critical to operational daily functioning",1,," Liabilities critical to operational daily functioning ","2015-04-01",,"qAI","qx2402","RES 4.2"
"Accounting items","new_AC1(qAC)","Sum of net liability positions taking into account contractual netting sets, after mark-to-market adjustments, post collateral offset, incorporating estimated close-out amounts",1,," Sum of net liability positions taking into account contractual netting sets, after mark-to-market adjustments, post collateral offset, incorporating estimated close-out amounts ","2015-04-01",,"qAI","qx2407","RES 4.2"
"Accounting items","new_AC1(qAC)","Tier 2 capital",1,," Tier 2 capital ","2015-04-01",,"qAI","qx2412","RES 4.2"
"Accounting items","new_AF4(qAF)","Other commitments received",1,," Other commitments received ","2015-04-01",,"qAI","qx2243","RES 4.2"
"Accounting items","new_AI186(qAI)","Premises and storage",1,," Premises and storage ","2015-04-01",,"qAI","qx2397","RES 4.2"
"Accounting items","new_AI81(qAI)","P - Partially removed",1,," P - Partially removed ","2015-04-01",,"qAI","qx2247","COREP 4.2"
"Accounting items","new_AI81(qAI)","Type of accounting approach for asset recognition in the balance sheet",,,,"2015-04-01",,"qAI",,"COREP 4.2"
"Accounting items","new_AI82(qAI)","Deferred income",1,," Deferred income ","2015-04-01",,"qAI","qx2182","RES 4.2"
"Accounting items","new_AI82(qAI)","Liabilities other than financial liabilities, provisions, tax liabilities, deferred income",1,," Liabilities other than financial liabilities, provisions, tax liabilities, deferred income ","2015-04-01",,"qAI","qx2174","RES 4.2"
"Accounting items","new_qTU(qTU)","Trade date receivables ",2,," Trade date receivables  ","2015-04-01",,"qAI","qx2006","COREP 4.2"
"Accounting items","qAF_3(qAF)","Senior unsecured liabilities",1,," Senior unsecured liabilities ","2015-04-01",,"qAI","qx2241","RES 4.2"
"Accounting items","FA_agg_2(qFA)","Issuance Guarantees",1,," Issuance Guarantees ","2015-04-01",,"qAI","qx2274","RES 4.2"
