NewCellID,NewTableVID,OldCellID,OldTableVID
360828,7059,69012,5441
360831,7059,69581,5441
360833,7059,69117,5441
360834,7059,227567,5441
360836,7059,69592,5441
360837,7059,227301,5441
360839,7059,227274,5441
360840,7059,69422,5441
360841,7059,69377,5441
360843,7059,69089,5441
360844,7059,227527,5441
360845,7059,227561,5441
360846,7059,69576,5441
360847,7059,69505,5441
360849,7059,69532,5441
360850,7059,227539,5441
360851,7059,69523,5441
360852,7059,69038,5441
360853,7059,227295,5441
360855,7059,69102,5441
360858,7059,227526,5441
360859,7059,227564,5441
360860,7059,69316,5441
360863,7059,69542,5441
360864,7059,69321,5441
360865,7059,69114,5441
360866,7059,69601,5441
360867,7059,69469,5441
360870,7059,227294,5441
360873,7059,69355,5441
360874,7059,227556,5441
360877,7059,227292,5441
360878,7059,69376,5441
360880,7059,227280,5441
360882,7059,69452,5441
360883,7059,69574,5441
360884,7059,69600,5441
360885,7059,69599,5441
360886,7059,69455,5441
360888,7059,69095,5441
360889,7059,69596,5441
360891,7059,227538,5441
360892,7059,227551,5441
360894,7059,227570,5441
360896,7059,69009,5441
360898,7059,69433,5441
360899,7059,69118,5441
360903,7059,69327,5441
360907,7059,69490,5441
360909,7059,69098,5441
360910,7059,69423,5441
360911,7059,69354,5441
360913,7059,69008,5441
360914,7059,69040,5441
360915,7059,69521,5441
360916,7059,69602,5441
360917,7059,69069,5441
360918,7059,69364,5441
360919,7059,69060,5441
360921,7059,69511,5441
360922,7059,69072,5441
360923,7059,69116,5441
360924,7059,227559,5441
360925,7059,69553,5441
360926,7059,69604,5441
360927,7059,69011,5441
360929,7059,227297,5441
360931,7059,69565,5441
360934,7059,69453,5441
360935,7059,69348,5441
360938,7059,69324,5441
360940,7059,69467,5441
360942,7059,69492,5441
360943,7059,69313,5441
360946,7059,69408,5441
360947,7059,69337,5441
360948,7059,69573,5441
360951,7059,227563,5441
360952,7059,69427,5441
360953,7059,69341,5441
360954,7059,69432,5441
360955,7059,69491,5441
360958,7059,69121,5441
360959,7059,69033,5441
360960,7059,69489,5441
360961,7059,69441,5441
360965,7059,69129,5441
360966,7059,69508,5441
360967,7059,69571,5441
360968,7059,69014,5441
360969,7059,69090,5441
360970,7059,69400,5441
360973,7059,69123,5441
360974,7059,69538,5441
360975,7059,69595,5441
360977,7059,69428,5441
360978,7059,69100,5441
360979,7059,69019,5441
360983,7059,69103,5441
360986,7059,69115,5441
360987,7059,69028,5441
360988,7059,69343,5441
360992,7059,69329,5441
360995,7059,69046,5441
360996,7059,227547,5441
360998,7059,69127,5441
360999,7059,227550,5441
361000,7059,227278,5441
361001,7059,69510,5441
361003,7059,69006,5441
361004,7059,69371,5441
361005,7059,227284,5441
361008,7059,69320,5441
361012,7059,69463,5441
361014,7059,227553,5441
361017,7059,69410,5441
361018,7059,69431,5441
361021,7059,69507,5441
361022,7059,69421,5441
361025,7059,69030,5441
361033,7059,69099,5441
361034,7059,69482,5441
361035,7059,69518,5441
361036,7059,69010,5441
361038,7059,227530,5441
361039,7059,69086,5441
361040,7059,69346,5441
361045,7059,69122,5441
361046,7059,69398,5441
361047,7059,69424,5441
361049,7059,69068,5441
361050,7059,69093,5441
361051,7059,69519,5441
361052,7059,227568,5441
361053,7059,69567,5441
361054,7059,69449,5441
361055,7059,69047,5441
361056,7059,69396,5441
361057,7059,69561,5441
361058,7059,69479,5441
361059,7059,227290,5441
361061,7059,69048,5441
361063,7059,69522,5441
361064,7059,227578,5441
361065,7059,69464,5441
361066,7059,69367,5441
361068,7059,69605,5441
361072,7059,69393,5441
361076,7059,69101,5441
361077,7059,69406,5441
361078,7059,69541,5441
361079,7059,69094,5441
361081,7059,69426,5441
361082,7059,227536,5441
361085,7059,69438,5441
361086,7059,227560,5441
361089,7059,69506,5441
361091,7059,69520,5441
361092,7059,69450,5441
361093,7059,69338,5441
361094,7059,69368,5441
361095,7059,69001,5441
361097,7059,69351,5441
361099,7059,69041,5441
361102,7059,69589,5441
361104,7059,69397,5441
361105,7059,69044,5441
361107,7059,227574,5441
361109,7059,69317,5441
361112,7059,69436,5441
361113,7059,69091,5441
361115,7059,227541,5441
361118,7059,69564,5441
361120,7059,69483,5441
361122,7059,69036,5441
361124,7059,69349,5441
361125,7059,69536,5441
361127,7059,69485,5441
361130,7059,69119,5441
361133,7059,69497,5441
361135,7059,69429,5441
361136,7059,227281,5441
361137,7059,69310,5441
361138,7059,227285,5441
361142,7059,69517,5441
361147,7059,69439,5441
361149,7059,69566,5441
361151,7059,69516,5441
361152,7059,69435,5441
361153,7059,69412,5441
361154,7059,69466,5441
361156,7059,69071,5441
361157,7059,69085,5441
361160,7059,69059,5441
361161,7059,69021,5441
361162,7059,227544,5441
361164,7059,227537,5441
361166,7059,69392,5441
361168,7059,69570,5441
361169,7059,69113,5441
361173,7059,69037,5441
361174,7059,69000,5441
361175,7059,69409,5441
361176,7059,69425,5441
361177,7059,69534,5441
361178,7059,69579,5441
361180,7059,69545,5441
361182,7059,227542,5441
361183,7059,69326,5441
361185,7059,69067,5441
361186,7059,69323,5441
361189,7059,69407,5441
361190,7059,69032,5441
361191,7059,69547,5441
361192,7059,69399,5441
361197,7059,69551,5441
361198,7059,69384,5441
361199,7059,69608,5441
361202,7059,69328,5441
361203,7059,69357,5441
361205,7059,69031,5441
361206,7059,227299,5441
361209,7059,227555,5441
361210,7059,69088,5441
361211,7059,69369,5441
361214,7059,69375,5441
361215,7059,69540,5441
361216,7059,69459,5441
361218,7059,69495,5441
361220,7059,69045,5441
361222,7059,69401,5441
361223,7059,69480,5441
361224,7059,69488,5441
361225,7059,69380,5441
361226,7059,69476,5441
361227,7059,69366,5441
361228,7059,69097,5441
361229,7059,69383,5441
361230,7059,69042,5441
361233,7059,69440,5441
361234,7059,69378,5441
361238,7059,227291,5441
361240,7059,69112,5441
361241,7059,69075,5441
361243,7059,69543,5441
361244,7059,69105,5441
361245,7059,69420,5441
361246,7059,69513,5441
361248,7059,69370,5441
361250,7059,227283,5441
361252,7059,69070,5441
361254,7059,69494,5441
361255,7059,69609,5441
361256,7059,227523,5441
361257,7059,69035,5441
361258,7059,69563,5441
361259,7059,69411,5441
361260,7059,69029,5441
361261,7059,69512,5441
361264,7059,69504,5441
361266,7059,227558,5441
361268,7059,69514,5441
361269,7059,69496,5441
361270,7059,69133,5441
361273,7059,69039,5441
361275,7059,69063,5441
361276,7059,69034,5441
361277,7059,69580,5441
361279,7059,69487,5441
361280,7059,69437,5441
361283,7059,227529,5441
361284,7059,69130,5441
361286,7059,69394,5441
361287,7059,69578,5441
361288,7059,69560,5441
361289,7059,69073,5441
361290,7059,69104,5441
361292,7059,69016,5441
361293,7059,69120,5441
361296,7059,69382,5441
361298,7059,69002,5441
361300,7059,69308,5441
361301,7059,227545,5441
361302,7059,227525,5441
361303,7059,69325,5441
361304,7059,69084,5441
361305,7059,227552,5441
361306,7059,69356,5441
361308,7059,69405,5441
361311,7059,69315,5441
361312,7059,227543,5441
361315,7059,69575,5441
361318,7059,69548,5441
361319,7059,69606,5441
361321,7059,69314,5441
361323,7059,69402,5441
361325,7059,69413,5441
361328,7059,69043,5441
361329,7059,227524,5441
361330,7059,69077,5441
361332,7059,69372,5441
361333,7059,69015,5441
361334,7059,227575,5441
361335,7059,69451,5441
361337,7059,69003,5441
361340,7059,69311,5441
361342,7059,227275,5441
361343,7059,69568,5441
361344,7059,227279,5441
361345,7059,69381,5441
361348,7059,69057,5441
361350,7059,69074,5441
361352,7059,69013,5441
361353,7059,69087,5441
361354,7059,69132,5441
361355,7059,69593,5441
361356,7059,69062,5441
361357,7059,69342,5441
361358,7059,69533,5441
361362,7059,69524,5441
361364,7059,69477,5441
361365,7059,69096,5441
361366,7059,69478,5441
361370,7059,227569,5441
361371,7059,69004,5441
361372,7059,69124,5441
361373,7059,69379,5441
361374,7059,227298,5441
361380,7059,69049,5441
361381,7059,69550,5441
361383,7059,69319,5441
361384,7059,69493,5441
361385,7059,69353,5441
361387,7059,69309,5441
361388,7059,69345,5441
361390,7059,69005,5441
361391,7059,227531,5441
361393,7059,69458,5441
361395,7059,69588,5441
361397,7059,69468,5441
361398,7059,69336,5441
361399,7059,69509,5441
361400,7059,227557,5441
361401,7059,69076,5441
361404,7059,69597,5441
361406,7059,69515,5441
361408,7059,69430,5441
361409,7059,69017,5441
361411,7059,69395,5441
361412,7059,69590,5441
361414,7059,227532,5441
361415,7059,227565,5441
361418,7059,69537,5441
361419,7059,69373,5441
361420,7059,69131,5441
361421,7059,69404,5441
361424,7059,69056,5441
361425,7059,69007,5441
361426,7059,69486,5441
361427,7059,69603,5441
361428,7059,69598,5441
361429,7059,69322,5441
361430,7059,227566,5441
361431,7059,69549,5441
361432,7059,69481,5441
361434,7059,69454,5441
361435,7059,227287,5441
361438,7059,69569,5441
361439,7059,69058,5441
361440,7059,69340,5441
361441,7059,69607,5441
361442,7059,69544,5441
361444,7059,69572,5441
361447,7059,69125,5441
361448,7059,69018,5441
361449,7059,69128,5441
361450,7059,69552,5441
361453,7059,227535,5441
361456,7059,69484,5441
361459,7059,69562,5441
361460,7059,227282,5441
361461,7059,69347,5441
361462,7059,69365,5441
361463,7059,227577,5441
361465,7059,69539,5441
361466,7059,69457,5441
361467,7059,69126,5441
361469,7059,69065,5441
361470,7059,227540,5441
361471,7059,69339,5441
361473,7059,69535,5441
361475,7059,69546,5441
361477,7059,69092,5441
361480,7059,69350,5441
361483,7059,69461,5441
361484,7059,69434,5441
361488,7059,69460,5441
361490,7059,69318,5441
361492,7059,69344,5441
361493,7059,69066,5441
361494,7059,69594,5441
361495,7059,69465,5441
361496,7059,69061,5441
361498,7059,69577,5441
361500,7059,69064,5441
361501,7059,227276,5441
361503,7059,69312,5441
361507,7059,69352,5441
361510,7059,69456,5441
361511,7059,227286,5441
361514,7059,69462,5441
361516,7059,69591,5441
361517,7059,69525,5441
361518,7059,69020,5441
361521,7059,69403,5441
361522,7059,69385,5441
361523,7059,69374,5441
361524,7059,69448,5441
365207,7203,352002,6234
365208,7203,351968,6234
365209,7203,352008,6234
365238,7203,351978,6234
365244,7203,351999,6234
365257,7203,351974,6234
365260,7203,352019,6234
365262,7203,351995,6234
