Code,Name,Description,IsEnumerated,IsActive,IsExternalRefData,RefDataSource,RowGUID,CreatedRelease,OwnerID,CategoryID
"BA","Base items","Defines the basic conceptual meaning of a data point. 
Identifies the framework in which a data point is included. For FINREP, it indicates in which group of element of the financial statement should be included the data point (e.g. assets, liabilities, equity, income, expenses). For COREP, it indicates whether the data point should be computed in the numerator (own funds) or the denominator (exposures) of the Pillar I solvency ratio. 
It may determine whether the data point has a ""debit"" or a ""credit"" attribute.",-1,-1,0,,"{0E40D86D-889C-498E-AE6646398E615CEE}",1,1012,110
"MC","Main category","Specifies the nature of the item reported (i.e. answers the question: what is reported?). 
For financial instruments, defines the instrument (e.g. deposits, debt securities issued...) or range of instruments reported. 
It should be defined for each data point.",-1,-1,0,,"{6006CB2B-1EA7-494D-A09DC33C30EB1856}",1,1012,120
"AP","Approach","Approach used for the calculation of capital requirements (or exposure value in LR)",-1,-1,0,,"{D2F44CAE-72B1-4E06-BECA81F2187324E0}",1,1012,130
"BT","Boolean total","Dimensions having only two values (usually denoted true and false)",-1,-1,0,,"{3DEB1863-B1F0-4741-95A044ED72734CDD}",1,1012,140
"CG","Collateral/Guarantees","Defines the terms and conditions of the collateral and guarantees",-1,-1,0,,"{4513CC8A-E09E-4FCA-8F1EB0B66991813E}",1,1012,150
"OF","Computability in own funds","Specifies the way in which the item computes in own funds",-1,-1,0,,"{DE738DA7-C17B-448D-8689E4BEFDA5D00B}",1,1012,160
"CI","Callability of the instruments","For instruments on which a call option has been incorporated, it indicates whether they meet the conditions to qualify for inclusion in own funds.",-1,-1,0,,"{D3A3EE3A-4C85-4912-922ADA6912FD11AB}",1,1012,170
"CP","Credit protection","Concepts related with the application of Credit Risk Mitigation techniques.",-1,-1,0,,"{10577230-A5ED-4D44-8BC5A002174125E0}",1,1012,180
"CQ","Credit quality","Defines the credit quality of the exposures according to the Credit Quality Steps scale",-1,-1,0,,"{2988C5A4-D842-471B-9A424F78D16B7818}",1,1012,190
"CT","Counterparty","Party other than the reporting institution in a contract or transaction.",-1,-1,0,,"{C3733221-4DFC-4FE9-AFE5E4920723C6D4}",1,1012,200
"CU","Currency","Currency",-1,-1,0,,"{7C19C707-F219-4F21-845147FDA0B808FA}",1,1012,210
"EC","Exposure classes","Defines the exposure class for capital requirement purposes",-1,-1,0,,"{B020A042-9DEC-4229-91C04E18F60B49B6}",1,1012,220
"ER","External ratings","Concepts related with external credit ratings.",-1,-1,0,,"{ACA0B747-5750-4262-8497E82FEA7B0122}",1,1012,230
"ET","Event type","Defines the type of event that has generated an operational loss.",-1,-1,0,,"{AE5B2366-AA5B-47E3-83800003D76D32CE}",1,1012,240
"GA","Geographical area","Geographical area",-1,-1,0,,"{9E2552A3-86D5-4CA1-B415C2E01D54D749}",1,1012,250
"IM","Impairment","Concepts related with monitoring credit quality of financial assets and off-balance sheet items (e.g. past due, impaired, defaulted)",-1,-1,0,,"{6A46F167-0EAB-4E75-82DC99B5F51FF8ED}",1,1012,260
"MA","Type of market","Defines the type of market on which reported instruments are traded. It includes the fair value hierarchy.",-1,-1,0,,"{9E02EB16-FADD-4A6F-84CADFB2CA484094}",1,1012,270
"NC","NACE code","NACE classification of economic activities",-1,-1,0,,"{1DF8729F-5681-48D2-B6F9E6E03E6F5821}",1,1012,280
"PC","Percentages","Percentages",-1,-1,0,,"{5BC770E3-E7C0-4A0A-A008AF94571FE34A}",1,1012,300
"PI","Positions in the instrument","Defines the position (long/short) taken in the instrument, as well as the aggregation level related to the market risk capital requirement calculations (gross/net).",-1,-1,0,,"{DBEBC123-C4B8-4520-B09E48A689C3AD4D}",1,1012,310
"PL","Portfolio","Defined the portfolios reported. It comprises both accounting portfolios (e.g. Available-for-sale) and prudential portfolios (e.g. trading book).",-1,-1,0,,"{A0A26533-B853-4187-A8678D092CFFA31C}",1,1012,320
"RF","Reference period","Defines a relative time point (reference date or period) to which the data refers.",-1,-1,0,,"{70781722-CF22-46F8-99620C16A149DE0A}",1,1012,330
"PU","Purpose","Purpose of the contract or transaction.",-1,-1,0,,"{2CCFC8A9-9533-4172-813445B96ACF5FE9}",1,1012,340
"RP","Related parties/Relationships","Defines the relationship between the reporting institution with an entity or a person; in particular, it specifies the type of related party.",-1,-1,0,,"{B861019C-EB2B-431B-A54BB1FD321EC44F}",1,1012,350
"RS","Role in the securitisation process","Defines the role played by the reporting entity in the securitisation process.",-1,-1,0,,"{6CF29817-85B8-4B1F-AA6377675BCBE437}",1,1012,360
"TR","Type of risk","Indicates the type of risk arising from exposures or transactions (e.g. credit risk or market risk).",-1,-1,0,,"{7BA2B162-99D4-483A-886FBB8B66C23ED7}",1,1012,370
"RT","Risk transfer treatment","Type of risk transfer (synthetic or transitional securitisations) and accounting treatment of the transaction",-1,-1,0,,"{2255F0AA-4619-4D22-BA2756EBD96443BC}",1,1012,380
"ST","Securitisation structure","Tranche of the exposure in the securitisation structure",-1,-1,0,,"{48AA4ACF-B502-4776-8B8F919421C70DBB}",1,1012,390
"TA","Type of activity","Defines the type of activity reported (e.g. asset management or custody)",-1,-1,0,,"{A8A0108E-FA7E-4A53-AC683BCF9024BC7C}",1,1012,400
"TI","Time interval","Time bands (e.g. > 60 days <= 90 days).",-1,-1,0,,"{252D3A1C-D672-4051-9B284AE6B9B108BF}",1,1012,410
"UE","Underlying exposures in securitisations","Underlying exposures in securitisations",-1,-1,0,,"{E2C0C066-4115-4AD1-BEBB577BEB012124}",1,1012,420
"TP","Correlation Trading Portfolio","CTP or non-CTP",-1,-1,0,,"{134C3F31-89DF-4181-A16EEC25C3B1DD79}",1,1012,440
"LQ","Liquidity","Defines different liquidity-related conditions of assets and liabilities",-1,-1,0,,"{CD89A039-88FF-4775-88C5DB9FC80CF214}",1,1012,450
"LE","Legal entity","An association, corporation, partnership, proprietorship, trust, or individual that has legal standing in the eyes of law",0,-1,0,,"{71F0FD66-3D5C-4591-AD292CF00B0EAFCC}",1,1012,460
"SY","Security","Financial instrument that represents: an ownership position in a publicly-traded corporation (stock), a creditor relationship with governmental body or a corporation (bond), or rights to ownership as represented by an option.",0,-1,0,,"{7F26C9DA-37B5-4979-ABCB179D2B0EA117}",1,1012,470
"SE","Securitisation","Pool of individual assets packaged as a security",0,-1,0,,"{C0CE3642-B7D0-4A56-8893A11768BC0416}",1,1012,480
"ID","Integers","Integers",0,-1,0,,"{76135860-5100-442C-847219C289A96EB0}",1,1012,490
"CS","Contingent scenario","Defines the contingent scenarios whose impact is reported",-1,-1,0,,"{492B5A1D-5759-42BC-80CA452099FA6177}",1,1012,500
"SC","Scope of consolidation","Different scopes of consolidation of reporting when different from CRR scope",-1,-1,0,,"{B9A0F0D5-B20D-4310-8DAD52764793331A}",1,1012,510
"CB","Covered bond","Name or unambiguous abbreviation of a covered bond issuing entity and the designation of a covered bond",0,-1,0,,"{2ABAE312-26C9-42B4-AE318F996F1BF4D3}",1,1012,520
"CC","Clients code","Code of individual clients or group of connected clients",0,-1,0,,"{6DCFADD8-0C81-42B5-A9E6E996EF1F10B2}",1,1012,530
"AS","Accounting standard","The accounting standard used to prepare figures or reports",-1,-1,0,,"{16F3B947-7AE7-4C92-86963A2B9552BD99}",1,1012,540
"ZZ","Code Lists","Codes for use in various metrics",-1,-1,0,,"{6E22B300-8DCC-49CD-AB3F82D65CB76827}",1,1012,600
"IS","Identification String","String used as an artificial identifier",0,-1,0,,"{B8AD9D45-BF80-427A-A6E640561545464B}",1,1012,610
"DT","Date","Date",0,-1,0,,"{28B3BDEA-948E-4EE9-BD5192AEE95B7253}",1,1012,620
"CA","Currency conversion approach","Indicates how monetary values should be reported i.e. if they should be converted to a single reporting currency, or reported as-is in the underlying currency",-1,-1,0,,"{44F26BB6-F940-43FB-957525D0165982DC}",1,1012,630
"IA","Interval of amounts","Indicates sizes of amounts intervals",-1,-1,0,,"{9721DE06-CD81-4D50-AC2319F1505AA651}",1,1012,632
"EN","Entity","An association, corporation, partnership, proprietorship, trust, or individual",-1,-1,0,,"{EAADDD13-7DDA-4C80-BCCF752F0A90D98E}",1,1012,633
"OL","Own funds and elegible liabilities","Own funds and elegible liabilities",-1,-1,0,,"{AE8AEFF7-0DA1-457D-A43F863365B0ED33}",1,1012,634
"CR","Contracts/Transactions","Defines contracts or transactions",0,-1,0,,"{37E24FDA-BE56-4936-BF46F88395EEEB7E}",1,1012,635
"EA","ESG classification","ESG",-1,-1,0,,"{1FB5AD21-3179-4D7E-A5540C0D9CC3C1BC}",1,1012,636
"_PR","Properties","Contains Items which are counterparts of Properties.",-1,-1,0,,"{F8D60235-EEB5-49B2-B9010B020E0FF56E}",1,1012,1002
"_NA","Not applicable","Contains Items which do not belong to any specified Category such as those that are typically used only in dropdowns on Headers or Variables. It is also linked by Properties that do not belong to any real Category. Such enumerated Properties can refer to Items from Categories: ""Not applicable"", ""Properties"" and in such case they can also use Items of other Categories, in particular by being linked to such mixed SubCategory.",0,-1,0,,"{A526D965-641A-42E1-BAC128BF80AD37E1}",1,1012,1003
"_TE","Templates","Contains Items which are Templates for purposes of resembling filing indicator variables in the model.",-1,-1,0,,"{95B00C5B-1C39-4AB2-917469AD47F7D673}",1,1012,1004
"CO","Contracts/Transactions","Information related with Contracts. The difference to CR Category is that this is enumerated ",-1,-1,0,,"{8D48EC77-89D5-455C-9C2E3E6DB1920631}",2,1012,1006
"qAI","Accounting items","Concepts related with accounting statements",-1,-1,0,,"{CDAE625B-4CEF-5845-A714511E44EADFD1}",3,1012,1007
"qCA","Currency conversion approach","Indicates how monetary values should be reported i.e. if they should be converted to a single reporting currency, or reported as-is in the underlying currency",-1,-1,0,,"{37CD0707-02DB-674E-82DE88E3E360939B}",3,1012,1009
