ItemID,StartReleaseID,ContextID,EndReleaseID,RowGUID
3964,5,1752166,,"{9BF24806-7343-E649-978770EC05E30177}"
6162,5,1752165,,"{EB09638A-F301-DB41-BB96166C84DE0CA0}"
1012403328,3,817089,,"{96430454-27FD-1E48-ABEC6A05690AEDCC}"
1012403336,3,817096,,"{E68F7091-3311-CF48-8A794D98EC7320B0}"
1012403377,5,1751952,,"{3EC999F6-DA7F-3A4F-B2A011A5461BA520}"
1012403387,3,817095,,"{96844392-333B-0843-9A244F89654B129F}"
1012403668,3,817066,,"{A39D54B2-3F25-144D-AF173548135CFDA4}"
1012403682,5,1751980,,"{1CBDD69F-7A11-AA45-928D8B6A00E7464A}"
1012403695,5,1751983,,"{0DD9D419-A1C6-9E44-863AF7E49C15ADC1}"
1012403745,3,806054,,"{3B0968B0-E4FD-334B-8B8F6E3A592481D5}"
1012403769,3,817090,,"{272DAC33-5AC1-B448-8D45C913DB21C9FC}"
1012403775,3,817091,,"{1A3147A5-4FCB-CF45-AD70990C747351FA}"
1012403781,3,817094,,"{F7E1BBCF-E027-D84B-B7156A0E30341CE9}"
1012403785,3,817118,,"{715BBDD3-446E-2E4D-A7F4B348DD21676C}"
1012403786,3,817119,,"{E5B2DEE6-88BE-894B-94DCCDF8F15112A0}"
1012404198,3,817067,,"{4A662817-C602-9143-B00F11F0D0C688BB}"
1012404225,5,1751955,,"{E0B48B1B-A5E7-1B40-85BE8E69155C4CA7}"
1012404245,5,1751960,,"{5829CAD4-36D8-D347-8047EC4E616B55AE}"
1012404269,5,1751966,,"{CDB6BC0E-D9C4-6E4A-AF2A698D4BAEA5EC}"
1012404271,5,1751967,,"{5DC2E165-0478-8549-8AB1088418EA159F}"
1012404414,5,1751985,,"{54ECA585-3782-E248-B0168E7B2D97D3D3}"
1012404416,5,1751986,,"{F3B7AC44-0F01-CE4A-98E792772BF6B923}"
1012404424,5,1751987,,"{971E23D6-A5F4-2F4E-87296B3A0BF486D4}"
1012404426,5,1751988,,"{C07F38A3-29D6-1D46-9E38BC9E5935D2EA}"
1012404428,5,1751989,,"{022C9DF2-9084-1448-91F8F9455532E517}"
1012404429,5,1751990,,"{1981D1B2-7FE8-764F-9C550163C5CB3795}"
1012404633,3,817092,,"{27A401F9-37C2-5745-85D2901C6D7537FF}"
1012404637,3,817100,,"{5AFF8005-F11E-AC4D-B12AA705424A82B3}"
1012404644,5,1751992,,"{21BFF0A5-08CB-9541-810AB41BF095F262}"
1012404727,3,817113,,"{5BD11D22-37D4-3F4C-99BD63333CE0CE4C}"
1012404879,3,817116,,"{2DF8E080-D8D4-9941-B486BF9FEF2A75B4}"
1012404880,3,817117,,"{1EE58E21-C5E7-B941-B419E052E0176C66}"
1012405606,3,817125,,"{46A65E1F-F6D2-984A-BE3A58A4836CBBB4}"
1012405625,3,817102,,"{C6214767-CB25-6045-B6119C36DD2867D8}"
1012405637,3,817114,,"{0C4B1B2C-FCDD-CE4C-BF5F650D94B105E7}"
1012405725,3,817115,,"{B1680C98-299E-BA4B-A0039D200E8AE09B}"
1012405846,3,817108,,"{98541FA9-C21F-F148-952F6074E728AA56}"
1012405879,3,1330681,,"{E849FD56-022E-3340-B6603C61E3D7DFEB}"
1012406010,3,817105,,"{6896BFCD-3197-3B42-9DB5747C799FA13F}"
1012406011,3,805794,,"{7282C95B-4287-0D4D-8BFAD37237ECD38D}"
1012406022,3,817111,,"{7C530B97-2F14-4940-A574EE12AB8F2D39}"
1012406029,3,817120,,"{BE2F304E-B6BB-3F43-A82A375FFC913AA3}"
1012406036,3,817121,,"{AF9C0F36-DE6D-6C4D-840F6FE3359B1DE8}"
1012406060,3,817122,,"{8C5182B4-1E84-4543-A11846E9DFC1401B}"
1012406090,3,817123,,"{FAEEB1C7-9A7A-9D42-BA19424121010FEA}"
1012406094,3,817110,,"{DD346D3D-8C42-294C-9EC125A16DDD78DA}"
1012406229,3,817112,,"{574E4A1B-85F9-0043-B300AA7824D5E26A}"
1012406827,5,1751973,,"{C3B56498-A515-4246-BF27DEDF14CF31C9}"
1012408129,4,1525713,,"{16661262-B5D5-494D-ADAE7D20374297AB}"
1012409240,5,1751979,,"{76473F9C-B5CD-AF48-9467E167A1ABF2D1}"
1012409242,5,1751997,,"{1B60A715-FE67-5B4C-ABBB4B07E69F07A4}"
1012409244,5,1751998,,"{185A9D3E-5BD2-AB45-9633018E332D55A6}"
1012409246,5,1751999,,"{D9D0F472-2AAA-4F4F-9DEF9109F1CA38AB}"
1012409251,5,1752000,,"{E5D130DF-AD55-E447-985192CA51265C08}"
1012409253,5,1752001,,"{A0FE74B9-46A7-8D46-BC8109A4ED83DD99}"
1012409255,5,1751994,,"{2810A1B7-6BBA-F34F-9315D3438DE94AD2}"
1012409257,5,1751993,,"{1C50B68A-A119-1741-BCBE89403C661C0A}"
1012409382,5,1751950,,"{2AA03F15-046E-6F43-BF37ACA54FC7BCC8}"
1012409383,5,1751954,,"{C5E7D3B9-F4BD-BB46-878EB0052215A94E}"
1012409384,5,1751958,,"{64885AA4-6F44-DE49-BB24EF35642F4C94}"
1012409385,5,1751965,,"{FB0E6CFC-A2E9-D542-85ED490E464B9B74}"
1012409410,5,1751976,,"{E7C2B684-E4BE-734B-AE4DF34B63FCE769}"
1012409413,5,1751976,,"{2F11AEB8-19C6-AA4F-85BC12EBFCED5734}"
1012409622,5,1751949,,"{0BFB7004-BBBE-394B-90CCE1405AD44835}"
1012409628,5,1751968,,"{259687FE-3D82-D84A-8F3CDC2A058D5040}"
1012409630,5,1751959,,"{47F22B80-FC1B-9747-875BCB8ECA85AF4F}"
1012409632,5,1751961,,"{F4E83F11-9494-1944-9CAA7B549AF60B5D}"
1012409633,5,1751962,,"{8C7F8E03-F3BD-9647-A3D6B65BC19CCE3B}"
