Name,Type,OwnerClassID,HasReferences,ClassID
"Organisation",,,-1,1
"Category",,,-1,2
"SubCategory",,,-1,3
"Property",,,-1,4
"Item",,,-1,5
"Framework",,,-1,6
"Module",,6,-1,7
"ModuleVersion",,7,-1,8
"TableGroup",,,-1,9
"Table",,,-1,10
"TableVersion",,10,-1,11
"TableAssociation",,,-1,12
"Header",,10,-1,13
"HeaderVersion",,13,-1,14
"Cell",,10,-1,15
"Variable",,,-1,16
"VariableVersion",,16,-1,17
"CompoundKey",,,0,18
"Context",,,-1,19
"Operation",,,-1,20
"OperationVersion",,20,-1,21
"LegalDocument",,,0,22
"LegalDocumentVersion",,22,0,23
"Subdivision",,23,0,24
"Release",,,-1,28
"OperAttrValue",,,-1,29
"SubCategoryItem",,3,-1,30
"Aux_CellMapping",,,0,31
"Aux_CellStatus",,,0,32
"ChangeLog",,,0,33
"CompoundItemContext",,,0,34
"Concept",,,0,35
"ConceptRelation",,,0,36
"ContextComposition",,,0,37
"DataType",,,0,38
"Document",,,0,39
"DocumentVersion",,,0,40
"DPMAttribute",,,0,41
"DPMClass",,,0,42
"ItemCategory",,,0,43
"KeyComposition",,,0,44
"KeyHeaderMapping",,,0,45
"Language",,,0,46
"ModelViolations",,,0,47
"ModuleParameters",,,0,48
"ModuleVersionComposition",,,0,49
"OperandReference",,,0,50
"OperandReferenceLocation",,,0,51
"OperationCodePrefix",,,0,52
"OperationNode",,,0,53
"OperationScope",,,0,54
"OperationScopeComposition",,,0,55
"OperationVersionData",,,0,56
"Operator",,,0,57
"OperatorArgument",,,0,58
"PropertyCategory",,,0,59
"QIDMapping",,,0,60
"Reference",,,0,61
"RelatedConcept",,,0,62
"Role",,,0,63
"SubCategoryVersion",,,0,64
"SubdivisionType",,,0,65
"SuperCategoryComposition",,,0,66
"TableGroupComposition",,,0,67
"TableVersionCell",,,0,68
"TableVersionHeader",,,0,69
"Translation",,,0,70
"User",,,0,71
"UserRole",,,0,72
"VarGeneration_Detail",,,0,73
"VarGeneration_Summary",,,0,74
"VariableCalculation",,,0,75
"VariableGeneration",,,0,76
