Code,Name,Description,RowGUID,OwnerID,FrameworkID
"FINREP","Financial Reporting",,"{275A63DE-9336-4015-B37000A8E1B3EF86}",1012,1
"COREP","Common Reporting",,"{F55471CA-1117-4F99-BDD0DA24EE86DF25}",1012,2
"AE","Asset Encumbrance",,"{9A0B313D-B1FD-4DB8-86993D52E7644277}",1012,3
"FP","Funding Plans",,"{CA738DFE-5D14-4DC5-B24A90B218664834}",1012,4
"SBP","Supervisory Benchmarking Portfolios",,"{313B58A2-8476-451D-BEA71A88B5AA131D}",1012,5
"REM","Remuneration",,"{63E09DD8-B408-4699-B9B7BDB84C0DDF1D}",1012,6
"RES","Resolution",,"{F440C23C-0E58-455F-A05F258DBAB761A1}",1012,7
"PAY","Payments",,"{B0E71146-07D6-4FF9-9AAF4148033FFCA5}",1012,8
"FINREPCOVID19","Financial Reporting of COVID19",,"{45B78B80-6814-4B9B-B3117A337968DB77}",1012,9
"IF","Investment Firms",,"{9B4EEF74-365B-46DC-9C6695B7D8AB0A64}",1012,10
"GSII","Global systemic and important Institutions",,"{CBEB3EE3-E52F-4547-940AD73CCFB09998}",1012,11
"MREL","MREL and TLAC",,"{722B7D72-BED1-41F2-82089784E4A08ACE}",1012,12
"IMPRAC","Impracticability of contractual recognition of bail-in",,"{C78C8900-3303-4EC7-928FDF4602DECAF7}",1012,13
"ESG","ESG",,"{53DB7B27-5D07-42BB-AE1F1BF2ADBA4DF3}",1012,14
"IPU","Intermediate Parent Undertaking",,"{E4F02702-DE50-4257-9E88AC7182848D13}",1012,15
"PILLAR3","Pillar 3 disclosures",,"{21C5CCA6-A99D-43E2-90CA8A7A8708D71D}",1012,16
"IRRBB","Interest Rate Risk in the Banking Book",,"{5835C054-F2F1-46BE-B12ACE404D75096E}",1012,17
"DORA","Digital operational resilience","These templates are used to report the register of information on ...etc","{64FBE77B-99AE-4B5A-A6A4A648B3C797A7}",1012,19
"FC","FICO",,"{9C6220D8-A5CC-41A8-A059B80AB3F2AEFD}",1012,20
"MICA","MICA",,"{44BA04E4-5B26-1C41-AEDD8385D6EE0628}",1012,21
"TCB","Third-country Branches","Article 48I(1) of the CRD VI","{4CA6B870-51C6-D549-A7F1879CFDD99F9D}",1012,22
"AML","AML",,"{094A7AD5-9DA1-7A48-A7D56376E2E3A9A9}",1012,23
"015","AMLA",,"{5D0F1EE9-2EF7-B940-9D21CA06611BDF58}",1012,24
