Name,Description,IsProperty,IsActive,RowGUID,OwnerID,ItemID
"1250% for positions not subject to any method",,0,-1,"{0E6D9F07-BF7C-4330-854FB4856D1415BD}",1012,1000
"Advanced Measurement Approach",,0,-1,"{F95E9242-3E21-47CD-B2544F9743A04BDB}",1012,1006
"Advanced method",,0,-1,"{E1F0838D-619B-40AC-A422AE4191B5599B}",1012,1007
"Alternative Standardised Approach",,0,-1,"{4EE0039D-EA3B-4AB9-86EFB17CDDE7DC59}",1012,1008
"Approach for general risk for equities",,0,-1,"{B5B411E2-36C6-467C-908E7BC735369AE1}",1012,1009
"Approach for specific risk for correlation trading portfolio",,0,-1,"{0B482747-6A25-42EF-8DA39C4ECBC553F7}",1012,1010
"Approach for specific risk for equities",,0,-1,"{65556464-5A4D-4609-BEAE07B43C1B1035}",1012,1011
"Approach for specific risk for non securitisation debt instruments",,0,-1,"{61782FCE-8262-4325-B0F4C64505B5399B}",1012,1012
"Approach for specific risk for securitisation instruments",,0,-1,"{A07F92BD-D3FC-4B11-9ED85D80AD6AC7BA}",1012,1013
"Approaches for general risk for debt instruments",,0,-1,"{70868079-8E73-4FAE-B8D96542711AEC2D}",1012,1014
"Approaches for options",,0,-1,"{B52D445C-C23F-473A-AEDFE3FE679BBB02}",1012,1015
"Basic Indicator Approach",,0,-1,"{D30789BD-309F-496E-9E57B5C065BA8966}",1012,1016
"Risk weighted exposure amounts calculated using PD, LGD and M",,0,-1,"{DE14E19C-3181-4EFB-929B20E4FEAB3A20}",1012,1020
"Alternative treatment for exposures secured by real estate",,0,-1,"{6C08F9A0-8EED-4737-921A38A028BE65C8}",1012,1022
"Risk weighted exposure amounts calculated using RW, other",,0,-1,"{266B049A-7CA4-4559-BF01444CB2E3D82B}",1012,1024
"Ratings Based Method",,0,-1,"{53F1935F-1087-45AB-89DA45358F58B7F0}",1012,1027
"Supervisory formula method",,0,-1,"{5CFB9323-9E2C-4FAD-B970EB2F92F8FB0F}",1012,1028
"Specialized lending slotting criteria",,0,-1,"{726D3572-3781-496A-A48DC87CAE11B228}",1012,1029
"Duration-based approach",,0,-1,"{5FE31485-12F5-422B-BD2CEBE1E20A04F6}",1012,1036
"Extended maturity ladder approach",,0,-1,"{9890715F-6AD3-439D-BA02393C849C4D31}",1012,1037
"External rating not available",,0,-1,"{2CD2C234-EDCF-4DFB-8AF97E0DC47A7F4C}",1012,1038
"Internal Assessment Approach (IAA)",,0,-1,"{A923E2B8-B8EB-41BB-9EF6FE2AA91294E6}",1012,1040
"Internal models approach for market risk",,0,-1,"{DF9F3D66-DBE9-4824-AEE8F36E1E93D12A}",1012,1041
"IRB Approach","Regulatory approach for the calculation of own funds requirements for credit risk (based on internal models) as laid out in Part Three, Title II, Chapter 3 of Regulation (EU) No 575/2013 (CRR)",0,-1,"{F7E02D12-96F3-4F16-813C0B36AAC2278E}",1012,1042
"IRB approach - Securitisation exposures",,0,-1,"{B16F1140-9F0D-4E30-A9CA00AFDEA5E7E8}",1012,1044
