ModuleID,GlobalKeyID,StartReleaseID,EndReleaseID,Code,Name,Description,VersionNumber,FromReferenceDate,ToReferenceDate,RowGUID,IsReported,IsCalculated,ModuleVID
6,,1,3,"AE","Asset Encumbrance",,"1.2.0","2023-06-30","2026-03-30","{AC3FF064-C246-4F08-8740505E2830B07E}",-1,0,337
10,,1,3,"COREP_ALM","Additional Liquidity Monitoring - COREP",,"3.1.0","2023-06-30","2026-03-30","{33096D7B-1D13-4419-B19FBE92EF352845}",-1,0,338
23,,1,2,"COREP_FRTB","FRTB - COREP",,"3.1.0","2022-12-31","2026-03-30","{AC58C1DB-35DD-4175-9E6AB78A8D3EB5F6}",-1,0,339
11,,1,3,"COREP_LCR_DA","LCR Delegated Act - COREP",,"3.1.0","2022-12-31","2026-03-30","{5F6C06B6-393F-42C2-83F1E1E7C5C44A21}",-1,0,340
3,,1,3,"COREP_LE","Large Exposures - COREP",,"3.1.0","2022-12-31","2026-03-30","{590961A0-8990-4F26-BC8F769AB2DA7BC4}",-1,0,341
13,,1,3,"COREP_LR","Leverage Ratio - COREP",,"3.1.0","2022-12-31","2025-03-30","{159A685C-203D-4A7D-97A1261CDB340534}",-1,0,342
4,,1,5,"COREP_NSFR","Stable Funding - COREP",,"3.1.0","2022-12-31","2026-03-30","{1DF4642E-7A3A-4E95-9BEC20123AD9CA9E}",-1,0,343
14,,1,3,"COREP_OF","Own Funds - COREP",,"3.1.0","2023-06-30","2025-03-30","{9F3E0D15-2859-4988-AC13407D64E03552}",-1,0,344
24,,1,3,"GSII","GSII",,"1.1.0","2023-06-30","2026-03-30","{4C9E1375-F0C4-43D7-9F85B2E1DEC38785}",-1,0,345
28,,1,3,"IF_CLASS2","IF CLASS2",,"1.2.0","2023-06-30","2025-03-30","{865D0837-2158-4381-9B48E3C5FD1E1CB2}",-1,0,346
29,,1,3,"IF_CLASS3","IF CLASS3",,"1.2.0","2023-06-30","2026-03-30","{B5B65459-BAD5-447E-925FCDC954B0099D}",-1,0,349
30,,1,3,"IF_GROUPTEST","IF GROUPTEST",,"1.2.0","2023-06-30","2026-03-30","{3FFBDE39-CAE8-4294-82D79CCFEBC9AAA9}",-1,0,352
31,,1,3,"IF_TM","IF Credit Institution Threshold Monitoring",,"1.2.0","9999-12-31","9999-12-31","{8E127BDD-49B5-4DB4-89F4CA10DC6AC6AE}",-1,0,353
21,,1,4,"COVID19","Moratoria COVID19",,"1.0.1","2022-12-31","2023-01-01","{8448BD95-8A87-4371-AA047F78FBFB4F78}",-1,0,355
12,,1,3,"FINREP9","Finrep Reporting (IFRS9)",,"3.1.0","2022-12-31","2026-03-30","{CCB1621B-FEA5-43CF-94C3D84608A1DE99}",-1,0,356
7,,1,3,"FP","Funding Plans",,"2.1.0","2022-12-31","2026-03-30","{600F0DD6-2CFE-442B-894AA6EC9E435C3F}",-1,0,357
26,,1,3,"MREL_DECISIONS","MREL DECISIONS",,"1.0.1","2022-12-31","2025-12-30","{9D7E3F94-ED07-48F9-A60A77616052AFDE}",-1,0,358
27,,1,3,"NOTIF_IMPRACTICABILITY","NOTIF IMPRACTICABILITY",,"1.0.1","2022-12-31","2026-03-30","{1158825C-857E-44C3-ABCFF42E05A30D0F}",-1,0,360
19,,1,3,"PSD_FRP","Fraudulent Payments",,"1.0.1","2022-12-31","2026-03-30","{99FB42D8-2BF0-40EC-91B5864B03E35A37}",-1,0,367
15,,1,3,"RESOL","Resolution",,"1.2.1","2022-12-31","2025-12-30","{4D8052D8-45AF-4674-BCD99CE4A60062B8}",-1,0,368
16,,1,3,"REM_BM","Remuneration Benchmarking",,"2.0.0","2022-12-31","2026-03-30","{C99EAB08-A9F6-4423-829DC6A224E54D0F}",-1,0,370
33,,1,3,"REM_GAP","Remuneration on gender pay gap",,"2.0.0","2023-12-31","2026-03-30","{0E45B47A-9F35-4D32-A40AAA0D6CAD3F78}",-1,0,371
20,,1,3,"REM_HE","Remuneration High Earners",,"2.0.0","2022-12-31","2026-03-30","{BB68F337-C5CF-4E98-9EA3EBFDEC70BB60}",-1,0,373
34,,1,3,"REM_HR_Country","Remunerations approved higher ratios, Country level",,"2.0.0","2022-12-31","2026-03-30","{69E9F47D-AE60-450B-B33890F16490C3AD}",-1,0,374
35,,1,3,"REM_HR_Institution","Remunerations approved higher ratios, Institution level",,"2.0.0","2022-12-31","2026-03-30","{D439165F-E874-48DF-B77E98253A862A12}",-1,0,375
36,,1,3,"ESG","Environmental Social and Governance",,"1.0.0","2023-12-31","2025-06-29","{6B9AF31A-F39B-486A-97B8B298F2D2C4B9}",-1,0,376
37,,1,3,"IPU","Intermediate Parent Undertaking",,"1.0.0","2023-12-31","2026-03-30","{8F9A6E48-1CB2-437B-8F79D36AE9B848B3}",-1,0,377
38,,1,3,"CONDIS","Common disclosures",,"1.0.0","2023-12-31","2025-06-29","{82668282-4C0B-41A5-8D1952C8DAA44377}",-1,0,379
41,,1,3,"ESGDIS","ESG disclosures",,"1.0.0","2023-12-31","2025-06-29","{60B5EFFF-03BF-4D2B-B11E9238CF4142F0}",-1,0,380
39,,1,3,"FINDIS","Financial disclosures",,"1.0.0","2023-12-31","2025-06-29","{173453DF-E730-46C8-B9F35DE3F305006C}",-1,0,381
40,,1,3,"REMDIS","Remuneration disclosures",,"1.0.0","2023-12-31","2025-06-29","{CBE554A2-275B-471E-80173F8FD7F1C0FE}",-1,0,382
9,,1,3,"SBPIMV","Initial Market Valuation for Supervisory Benchmarking Portfolios",,"1.3.0","2023-09-30","2026-02-26","{7466D741-BB40-43A7-8B9A28DF322C9342}",-1,0,383
18,,1,3,"SBP_CR","SBP Credit risk",,"1.3.0","2023-09-30","2026-03-30","{2CC3854A-8C7A-4F43-83FFED15F32FC58C}",-1,0,384
32,,1,3,"SBP_IFRS9","SBP IFRS9",,"1.3.0","2023-09-30","2026-03-30","{0537B501-6044-4054-AA8724C6391B1B11}",-1,0,385
17,,1,3,"SBP_RM","SBP Market risk measures",,"1.3.0","2023-09-30","2026-05-28","{6EFD57E4-240C-4B40-A13A0D802DA7CA8B}",-1,0,386
42,,1,3,"IRRBB","Interest Rate Risk in the Banking Book",,"1.0.1","2024-09-30","2026-03-30","{62479DC3-3BF5-4F38-A4BF6B1284AA155B}",-1,0,388
25,,1,2,"MREL_TLAC","MREL TLAC",,"1.1.0","2024-06-30","2024-06-30","{DFF9EAFC-B199-41E1-AB22CB518FA0EF65}",-1,0,389
44,,2,3,"DORA","DORA",,"1.0.0","2025-01-31","2025-01-31","{C0A78332-D1FF-B844-8495194DFCE5EFE2}",-1,0,390
23,,2,3,"COREP_FRTB","FRTB - COREP",,"3.2.0","2025-03-31","2025-03-31","{F05BD4BF-B29D-46E0-88A9E741D62DC37C}",-1,0,392
46,,2,3,"FC","FICO",,"1.0.0","2024-12-31","2026-03-30","{BA0A833F-BC6A-4068-84F1D1C384B6519D}",-1,0,393
47,,2,3,"REM_DBM","Remuneration Diversity Benchmarking",,"2.1.0","2024-12-31","2026-03-30","{A76E2428-5DB9-48F2-80C8FD5E535DECBC}",-1,0,394
25,,2,3,"MREL_TLAC","MREL TLAC",,"1.2.0","2024-12-31","2026-03-30","{7214B3BC-D573-43D3-AD3B8446C2A212CE}",-1,0,395
11,,3,5,"COREP_LCR_DA","LCR Delegated Act - COREP",,"3.2.0","2024-12-31","2024-12-31","{21C88194-9E7F-43DD-863DD9ECFB49BE47}",-1,0,396
10,,3,5,"COREP_ALM","Additional Liquidity Monitoring - COREP",,"3.2.0","2024-12-31","2024-12-31","{0CA51040-BECD-EF4D-92C016279DEB7480}",-1,0,397
14,,3,5,"COREP_OF","Own Funds - COREP",,"4.0.0","2025-03-31","2026-03-30","{88B368F9-8C2C-B443-BBD2E918FAB58050}",-1,0,399
6,,3,5,"AE","Asset Encumbrance",,"1.3.0","2024-12-31","2024-12-31","{B8D73521-E1F7-574D-914844F8863C136A}",-1,0,400
3,,3,5,"COREP_LE","Large Exposures - COREP",,"3.2.0","2024-12-31","2024-12-31","{C11415A4-A8F3-1F47-8D52D49BEDF7ACF7}",-1,0,401
13,,3,5,"COREP_LR","Leverage Ratio - COREP",,"4.0.0","2025-03-31","2026-03-30","{F857A7BB-8176-1B44-A46AFD3AD4040A61}",-1,0,403
