ModuleVID,TableID,TableVID,Order,RowGUID
337,142,2170,2,"{D6BC33F8-F621-48A7-BCF98D0E36F1A00C}"
337,143,2179,4,"{E967E1C3-02AA-400C-B8C47E5F5869229C}"
337,144,2180,5,"{48AF0C87-6BF9-423F-B52274500F561512}"
337,145,2171,7,"{415E0878-0F5C-4E83-84AF904745AC9EA3}"
337,146,2172,8,"{17E87815-F187-445C-9F7332632E11B028}"
337,147,2173,10,"{E43D53E2-1A0F-469C-B2E9B012BAB5CF86}"
337,148,2174,11,"{0FEDECCD-7B28-4B43-B3361633F4B887C0}"
337,149,2182,13,"{6A69AFBC-3C6A-45BB-BF34CA59BE717507}"
337,150,2183,14,"{5DBDE9E5-2F41-474D-8B88D885F9858523}"
337,151,2184,16,"{338C39EE-107E-416B-89AC1BA639AC4882}"
337,152,2185,17,"{9DFE9B3D-B89C-4446-B96C42C990208F69}"
337,158,2187,25,"{C0B35B99-A848-49C6-81C2E9E219472765}"
337,159,2188,26,"{098BB65A-BF7E-41E8-96C24369DBD94B14}"
337,160,2189,27,"{B6449478-4C92-49C3-93EC82C7388E2C3B}"
337,161,2190,29,"{7B48997D-8C09-487E-B529A1B86EFB5AB4}"
337,162,2191,30,"{1B3ADD0B-A9BF-4CFC-B679075B032A6359}"
337,163,2192,31,"{DC808642-70A3-44A7-9B3C3A1F41945057}"
337,320,2186,18,"{00624791-C3D6-4DD3-B8F4A30776711A9E}"
337,321,2175,20,"{A6CA57F2-FB03-4368-90D63BA5302D071B}"
337,322,2176,21,"{567EB923-E4D6-45A4-9337693204D36713}"
337,323,2177,22,"{B51A89C6-19A1-4F14-B03EEE2947906E95}"
337,324,2178,23,"{99F59165-1739-4CE1-ADC9DF47B3E4B339}"
337,325,2181,1,"{1AED3855-E015-4C10-ABA1969A7AB8584B}"
337,1327,4827,3,"{B86065D4-9A35-4B5F-A4126CE25C0F04AD}"
337,1328,4828,6,"{9E258F1B-AC8A-450A-BA0F0CE6DD657881}"
337,1329,4829,9,"{3EC5D438-28D0-4461-8C1BC797352A9FEC}"
337,1330,4830,12,"{3EF76866-B22D-488F-9E2992274FB4E17F}"
337,1331,4831,15,"{7B5F9C00-9475-4C57-B2E080CD70261E2A}"
337,1334,4834,24,"{B9D021DB-F3B4-4D76-80EA36E8E2A66438}"
337,1335,4835,28,"{D4ED2249-00F6-4A9F-B6D23CACA7BDD1A4}"
337,1336,4836,19,"{B43B694B-9866-488D-BCB681077CA74A53}"
338,304,1977,1,"{25512A3D-6501-4E7B-ABD40073D7EBF69E}"
338,364,2141,10,"{D9209FA7-4C25-42B7-A82ED19FEB10A645}"
338,365,2142,11,"{0C97FE5F-E403-495E-83CE7AC6A5522CD1}"
338,366,2143,13,"{180A440E-ABDE-46EA-B30FE0F2526B8B71}"
338,367,2144,14,"{C4427B86-C472-4FDE-B8729F44E9572752}"
338,368,2145,16,"{F2B8B4F0-F152-4160-AF24A848FAA94BDB}"
338,369,2146,17,"{A1B7C461-3810-4BDE-BAC7655A079E0302}"
338,370,2147,19,"{7218FC45-29CC-4A4E-89F23A1B5B7356A0}"
338,371,2148,20,"{D51FB8CD-B09A-4ED0-B317F04AB8D55473}"
338,372,2149,22,"{F9A1B195-9ABF-4157-A356B931BA6A1306}"
338,373,2150,23,"{4150F8FF-E5F7-4176-B70BE39BF20D4853}"
338,429,2137,3,"{0377EAE2-45A5-4345-A92DD23F9D0D1465}"
338,430,2138,4,"{C60F022D-BEC9-4358-89C116459642A308}"
338,431,2139,6,"{081D4250-9272-4698-B6177FE2A3152324}"
338,432,2140,7,"{53A4CD17-936E-465B-A0FA19D2DC1A59CA}"
338,438,2193,5,"{EEF73C42-3BFB-4965-86A4DA44785767DC}"
