OperatorID,Order,IsMandatory,Name,ArgumentID
1,1,-1,"operand",1
2,1,-1,"left",2
2,2,-1,"right",3
3,1,-1,"left",4
3,2,-1,"right",5
4,1,-1,"operand",6
5,1,-1,"left",7
5,2,-1,"right",8
6,1,-1,"operand",9
7,1,-1,"operand",10
8,1,-1,"left",11
8,2,-1,"right",12
9,1,-1,"operand",13
10,1,-1,"operand",14
11,1,-1,"operand",15
11,2,-1,"grouping_clause",16
12,1,-1,"operand",17
12,2,-1,"grouping_clause",18
13,1,-1,"left",19
13,2,-1,"right",20
14,1,-1,"left",21
14,2,-1,"right",22
15,1,-1,"left",23
15,2,-1,"right",24
16,1,-1,"operand",25
16,2,-1,"set",26
17,1,-1,"operand",27
18,1,-1,"left",28
18,2,-1,"right",29
19,1,-1,"left",30
19,2,-1,"right",31
20,1,-1,"left",32
20,2,-1,"right",33
21,1,-1,"operand",34
21,2,-1,"pattern",35
22,1,-1,"left",36
22,2,-1,"right",37
23,1,-1,"left",38
23,2,-1,"right",39
24,1,-1,"operand",40
25,1,-1,"left",41
25,2,-1,"right",42
26,1,-1,"operand",43
26,2,-1,"grouping_clause",44
27,1,-1,"operand",45
27,2,-1,"grouping_clause",46
28,1,-1,"operand",47
28,2,-1,"condition",48
29,1,-1,"operand",49
29,2,-1,"component",50
30,1,-1,"condition",51
30,2,-1,"then",52
30,3,-1,"else",53
31,1,-1,"selection",54
31,2,-1,"condition",55
32,1,-1,"operand",56
32,2,-1,"period_indicator",57
32,3,-1,"shift_number",58
32,4,-1,"dimension",59
33,1,-1,"operand",60
33,2,-1,"node",61
34,1,-1,"old_name",62
34,2,-1,"new_name",63
35,3,-1,"component",64
36,1,-1,"left",65
36,2,-1,"right",66
37,1,-1,"expression",67
38,1,-1,"operand",68
38,2,-1,"condition",69
