PropertyID,StartReleaseID,CategoryID,EndReleaseID,RowGUID
1084,1,1003,,"{A0EAF28F-F954-49D3-B19C2709B21454A8}"
1086,1,1003,,"{CC1436BE-75EF-45D3-ACFCA6401D8CE0BE}"
1088,1,1003,,"{CE06043F-4FE2-4C98-BE90F0368B95A8BF}"
1089,1,540,,"{70B03B4A-03E4-4555-A20D083081B49A15}"
1090,1,600,,"{25A75DE8-348E-4D5D-ABA25B41090E0180}"
1091,1,1003,,"{057D0C23-D64D-42B6-88A5B5EDFE18795A}"
1092,1,1003,,"{7CF8DCD7-9F42-42FB-AC09143A42402431}"
1093,1,1003,,"{B2138726-2091-48EE-A836E7FABA6B5E70}"
1094,1,1003,,"{703CEFE9-4FD4-4243-A407397846A02E5D}"
1095,1,1003,,"{ADE54EE1-DE1B-4118-B0A7464AB35B22D4}"
1096,1,1003,,"{205C4320-1595-4E3D-AE91C7D433F4277F}"
1097,1,1003,,"{02068A22-A288-4E69-84162EC2BF6F276D}"
1099,1,1003,,"{157A88FC-396F-42C2-8DB6628258A0CC08}"
1100,1,1003,,"{CD1F6489-9D9B-48D7-954973C19DB3F9B9}"
1101,1,1003,,"{4C188A93-9BCF-4CC1-99420C32301AEEA5}"
1102,1,1003,,"{49358CD4-CFF3-4489-A399D95A791FA070}"
1105,1,1003,,"{F0E88D5B-0A54-4B75-B48383A5F6ADB56B}"
1106,1,1003,,"{3B85DCB9-81A6-4909-8FAD72FEB26CEA01}"
1108,1,1003,,"{02D3E062-E097-4A96-87C64FDD12725C7D}"
1109,1,1003,,"{509B9581-06DE-49DE-8B8AF039C85A3762}"
1111,1,1003,,"{F9EB8D9E-87B2-4BC7-8CEA1CD5EF405C90}"
1112,1,1003,,"{16A820C8-5439-426E-857AF034B4C678E2}"
1113,1,1003,,"{827482C1-8AC9-4BAF-839B95FCB9CED9E1}"
1114,1,1003,,"{5DA0109E-37D8-4681-851FBF2D5B8E37C8}"
1115,1,1003,,"{901F6516-8177-48C9-BD1885AE7C6F2555}"
1116,1,1003,,"{2A1E8124-C857-4210-9E1ACF6FD52E8518}"
1118,1,1003,,"{F59A56B7-6BCC-4917-B4E675FFC2DFFCD9}"
1119,1,1003,,"{FE085B36-8F3F-48C0-887DBAD16D4DD314}"
1120,1,1003,,"{C62EC9FA-E7ED-49F1-B13EC6DDF183394D}"
1121,1,1003,,"{4F23809E-0CE9-4370-9D08BB8A398B7C6A}"
1122,1,1003,,"{DAD4530F-3A3D-4BD4-883F4117C66F257F}"
1123,1,1003,,"{EE7B514D-B2EB-4D94-9E5DE990C5464E91}"
1124,1,1003,,"{EAC45904-4DC3-4647-B8310FDE89C12820}"
1126,1,1003,,"{86D32039-906C-41E1-9FA9C2C70D3588CE}"
1127,1,1003,,"{6BF26B92-60C1-40A0-B92C357D9A1301D6}"
1129,1,1003,,"{FAEA96C3-4C10-423A-B44E33CB1C15A0E6}"
1130,1,1003,,"{2DD24BAD-F4CF-4DB2-A42300AB6362CDAB}"
1132,1,1003,,"{C87BA92C-77DC-40BA-ADFB6AA40476800B}"
1135,1,1003,,"{840FD67B-C88B-4AFB-A1E5FD89AF04A586}"
1140,1,1003,,"{80A15DCE-90CC-4070-AE0EA3CE1CACC09E}"
1141,1,1003,,"{49A9AE9A-A61E-482D-8D32E500C5B3CE19}"
1152,1,1003,,"{441880AE-CC20-43AD-BE038F90520B9A2B}"
1153,1,1003,,"{E56919B4-7956-4D4E-92392CE6459F8C19}"
1154,1,1003,,"{E163531F-09B2-4E96-9436D681A74BFBA8}"
1155,1,1003,,"{8A0E3212-8039-41BC-817AB72EAE4E1098}"
