PropertyID,IsComposite,IsMetric,DataTypeID,ValueLength,PeriodType,RowGUID,OwnerID
1084,0,-1,9,,"stock","{A1A4CBEF-1C43-442C-853BDDDC37237019}",1012
1086,0,-1,9,,"stock","{C93B184D-820F-4975-BE057BA51612B9E7}",1012
1088,0,0,3,,"stock","{2DBAE9BC-82FF-46DD-BBBDA2D85DC2A1CB}",1012
1089,0,0,8,,"stock","{C316AEC5-E063-416F-8DB657206B226CEC}",1012
1090,0,0,8,,"stock","{3469CEF9-4E43-4D8B-AA44F09804B91E25}",1012
1091,0,-1,9,,"stock","{704F8ED7-484B-4531-9E4150604693D008}",1012
1092,0,-1,9,,"stock","{92077015-07D5-490C-A95DF798B2ACE679}",1012
1093,0,-1,9,,"stock","{24905340-7189-4D5C-AE944C8020998E0C}",1012
1094,0,-1,9,,"stock","{14898844-B7C4-4CF2-A08645DB145409C6}",1012
1095,0,-1,9,,"flow","{C444ABE7-55ED-4710-8F3A7D3529522776}",1012
1096,0,-1,9,,"flow","{FCA824BC-087D-443A-970348B5BAFD7069}",1012
1097,0,-1,9,,"flow","{5C722301-610C-451F-9C492B6BC9C20184}",1012
1099,0,-1,9,,"flow","{9F980605-9F18-4BBB-80413050BF4A3466}",1012
1100,0,-1,9,,"flow","{7AE1FF78-374F-41EA-817E330CC6252BBC}",1012
1101,0,-1,9,,"stock","{78010C04-C045-45C2-81C202725A5EEED2}",1012
1102,0,-1,9,,"stock","{A97728B4-54C6-41D7-9BABAE6882B77FED}",1012
1105,0,-1,9,,"stock","{4A61CC79-B90D-4472-BB2A43E881A23C91}",1012
1106,0,-1,9,,"stock","{96EA3FB7-793A-4CCF-9808E688E6932678}",1012
1108,0,-1,9,,"stock","{587E2039-B635-4D50-9F16BF647FD59B47}",1012
1109,0,-1,9,,"flow","{35825A5D-EA4F-4710-B21788B459ED0F5F}",1012
1111,0,-1,9,,"flow","{3FC2D1A5-279A-43E1-8BB8F39DEF9C89BE}",1012
