CategoryID,Code,Name,Description,RowGUID,OwnerID,SubCategoryID
130,"AP1","Hierarchy for approaches for credit risk","Approaches used for calculating capital requirements for credit risk.","{5F6F7F44-FB94-4EC1-95F3711DD9FA8F1B}",1012,10
130,"AP10","Hierarchy for the approaches applicable for operational risk","Lists all the possible approaches applicable for operational risk.","{B8A688C3-C517-4875-8FCCBB94F9A81EE9}",1012,45
130,"AP11","Hierarchy for the approaches applicable for CVA risk","Lists all the possible approaches applicable for CVA risk.","{E62D4B42-7837-4F74-BE66BDFE2DD4F475}",1012,80
130,"AP2","Hierarchy for the different methods to calculate risk weights for securitisation exposures","According to the CRR, there are different methods to determine risk weights for securitisation exposures. The CRR clearly describes the methods and the sequence of application. These hierarchy lists the possible methods to determine risk weights (separate dimension in the domain AP)","{B9E91075-4B0B-45CB-AB7CCB0BEEC4F477}",1012,110
130,"AP22","Alternative hierarchy for approaches for credit risk","Approaches used for calculating capital requirements for the credit risk for securitisation positions and equity positions in the IRB. There is no differentiation in foundation and advanced IRB for these exposure classes.","{B6424CB2-CCFE-4F24-B979E2F83DFC0FEA}",1012,170
130,"AP5","Hierarchy for the approaches for market risk","This hierarchy includes the different approaches for market risk","{0940F67A-7E55-41C9-B9FC6A33A464CEA7}",1012,195
130,"AP7","Methods to determine risk weights in the IRB approach","There are different possibilities in the IRB approach (excluding equity and securitisation positions) how risk weights are determined. These hierarchy lists the possible methods to determine risk weights (separate dimension in the domain AP)","{8C04F1CC-2C1A-4415-889395D9A4C658CE}",1012,315
130,"AP8","Methods to determine risk weights in the IRB approach for equity exposures",,"{A448B03E-883B-4567-B926EA81E85AD38B}",1012,355
130,"AP9","Hierarchy for approach for options","Hierarchy shows the approaches used to calculate own funds requirements for risks other than delta risks.","{7050ABD7-5863-45FA-A169DC389B159E95}",1012,390
130,"AP23","Options for ""Approach used for the securitised exposures""",,"{85E33361-E9C1-4086-87B55F9BCDF79963}",1012,425
1002,"AT1","Hierarchy for the calculation of RWA in the Standardised Approach","This hierarchy shows the calculation of the RWA for the SA except positions assigned to the exposure class securitisation. The single steps were taken from the template CR SA, beginning with the Original exposure pre conversion factors to the risk weighted exposure amount.","{E3794327-E2F2-4D32-A5A8CE6EBDF0753B}",1012,445
1002,"AT101","Components of ""All reclassifications"" (I)","Components of ""All reclassifications"" (I)","{92F2F75A-37E4-4AB4-95D34A819990AF1A}",1012,515
1002,"AT102","Components of ""All reclassifications"" (II)","Components of ""All reclassifications"" (II)","{01D57EFB-BDB4-44FF-86EE6FF96E9FCFA0}",1012,540
1002,"AT105","Hierarchy for computable amount","Lists the different types of computable amount. Applicable in CA4 template for detailed breakdowns of holdings.","{791A42A6-E1AD-4571-857C2B47BADC1F35}",1012,570
1002,"AT107","Hierarchy for amounts used for the calculation of own funds","Shows the different features of the grandfathered instruments not constituting state aid.","{1187D1A1-B491-4B32-A3D2D8E51ABC9CDB}",1012,620
1002,"AT2","Hierarchy for calculating RWA in the IRB approach","This hierarchy shows the calculation of the RWA for the IRB, all exposure class except equities and other non-credit risk related items. The single steps were taken from the template CR IRB EQU.","{F7A88D1A-D7F0-468D-8F4AA2C9D0072DF0}",1012,735
1002,"AT3","Hierarchy for calculating RWA in the IRB approach, applicable just for equities","This hierarchy shows the calculation of the RWA for the IRB, exposure class equities. The single steps were taken from the template CR IRB EQU.","{DDD58A22-EDD8-4363-8375E6378086D7BD}",1012,775
1002,"AT4","Hierarchy for the calculation of RWA in the Standardised Approach for securitisation positions","This hierarchy shows the calculation of the RWA for the SA, exposure class securitisation. The single steps were taken from the template CR SEC SA.","{8AC2D82B-66C7-4D10-8E64EB80D2F14A40}",1012,800
1002,"AT40","Hierarchy for breakdown of current period (flow) (I)","Breakdown between additions and reversals","{E3D849EA-F2AA-4843-8AF1B60CCC9B98BA}",1012,905
1002,"AT47","Hierarchy for calculating changes in defined benefit obligations",,"{66220115-7D2B-402B-A624713F726372A0}",1012,925
1002,"AT5","Hierarchy for the calculation of RWA in the IRB-Approach for securitisation positions","This hierarchy shows the calculation of the RWA for the IRB, exposure class securitisation. The single steps were taken from the template CR SEC IRB.","{B2E08256-8691-4C3A-B7636B76FD3DCC46}",1012,985
1002,"AT73","Hierarchy for the impact of correction of errors and changes in accounting policies according to IAS 8","Hierarchy for the impact of correction of errors and changes in accounting policies according to IAS 8","{C9D43EAE-6D67-429C-9B6CEAFE2D63F1AA}",1012,1115
1002,"AT83","Hierarchy for goodwill included in the carrying amount",,"{3F23BF54-BD60-41B9-894898C88CFB6772}",1012,1180
1002,"AT87","Hierarchy for gross carrying amount",,"{88954B4B-CED4-486F-9CD7D50617C7A60C}",1012,1195
1002,"AT90","Hierarchy for calculating changes in provisions",,"{CA2A1D9C-5CB2-4658-9DE3C337EEFA7D09}",1012,1250
140,"BT1","Hierarchy for the breakdown between owners of the parent and non-controlling interests","Hierarchy for the breakdown between owners of the parent and non-controlling interests","{732C3F35-7925-4222-9211486505D7DD16}",1012,1285
380,"RT2","Hierarchy for transferred financial assets",,"{A53543E8-E684-4D73-92F92D9B4C109598}",1012,1305
170,"CI1","Hierarchy for Grandfathered Instruments not constituting state aid","Shows the different features of the grandfathered instruments not constituting state aid.","{99700E5E-1368-4CDE-8E7DD47698241AE7}",1012,1340
180,"CP1","Hierarchy for breakdown of CRM techniques","Breakdown of CRM techniques","{9743E556-D58A-4E36-A696E9F6CD2BABAC}",1012,1375
190,"CQ1","Hierarchy for CQS used for securitisations in the IRB","List all possible CQS which are used for calculating RW for securitisation positions of the IRB","{FD222147-B8DE-4197-B05EA0A70CDD44CD}",1012,1530
190,"CQ2","Hierarchy for CQS used for securitisations in the SA",,"{9E3B8BFB-2BAB-4DEA-9779E25EDBBBABC7}",1012,1600
200,"CT1","Hierarchy to describe financial entities","The differentiation is used in the IRB - exposures to large regulated and unregulated entities have to apply a higher correlation when calculating the risk weight","{DBDEBC03-9E96-4C06-A5867EF68AD1AE18}",1012,1635
200,"CT15","Hierarchy with the basic breakdown for counterparty sectors","Basic breakdown for counterparty sector","{42D488B8-CE9F-4E4D-BA566D60566B8FDF}",1012,1655
200,"CT32","Hierarchy with breakdown for ""Counterparties other than financial corporations""","Breakdown for ""Counterparties other than financial corporations""","{697F75A8-BEDD-49CD-AD87D07AC5B99E14}",1012,1700
200,"CT42","Breakdown of exposures treated and NOT treated as sovereigns","Breakdown of exposures treated and NOT treated as sovereigns for LR calibration purposes","{76B6925F-C687-45AB-A9A85A24314BF4C1}",1012,1730
