ItemID,SubCategoryVID,Order,Label,ParentItemID,ComparisonOperatorID,ArithmeticOperatorID,RowGUID
1000,110,33,,1055,,2,"{76FD1DFC-DA28-4AB2-ABE5EA5B1191450A}"
1006,45,15,,3022,,2,"{C4DC92DB-ED65-4FDB-8B1CD70644D4C15E}"
1007,80,19,,3023,,2,"{C1099C3F-1FBC-4F79-9DB0891CFC664FAD}"
1008,45,14,,3022,,2,"{C3AAC52B-9054-4C03-8A31BD41A055338F}"
1008,19885,1,,,,,"{B4CA88A9-A1C9-494E-A42C80BCE3F0BF32}"
1009,195,60,,1071,,2,"{60CF96A5-148F-4AC7-B7D9035FB5344116}"
1010,195,56,,3038,,2,"{514CB32F-0671-4BA3-8F7774AA123B6F49}"
1010,12575,3363,,4886,,2,"{234D39BC-BFD3-45D8-9DA81C65BD4FCFBA}"
1011,195,61,,1071,,2,"{16E66E55-2CD1-4F12-AC361DA540465E44}"
1011,12575,3364,,4886,,2,"{E5A555FF-0712-4EE7-BDB21DE82D43FE15}"
1012,195,54,,3038,,2,"{22EC394C-C3C3-41B0-A2354A7410CB40C8}"
1012,12575,3361,,4886,,2,"{B10A764F-1BED-49D2-9CBE5358215623E8}"
1013,195,55,,3038,,2,"{56BEF8B0-D161-4157-8378EA7B958980DC}"
1013,12575,3362,,4886,,2,"{A1B955BE-E776-4535-AFE10D395DD2D763}"
1014,195,50,,1075,13,2,"{12B7A14F-EB80-443D-B667E1283E3936C7}"
1015,195,59,,1071,,2,"{AAEF11AB-E8DB-4BBC-9207265CC0622335}"
1015,390,86,,3677,13,2,"{C46A8DE8-FF26-4A31-9139EF1A27AF498A}"
1015,12553,44,,1074,,2,"{D93D1DBA-B83A-466C-9F601722595A8F13}"
1016,45,12,,3022,,2,"{0D41FF20-5537-4834-844E7404145C3189}"
1020,315,72,,3025,,2,"{22B67ECD-A5E6-40A3-B50377363415055C}"
1022,315,75,,1045,,2,"{D79C9611-C5F2-4C58-B42FA77D11CCD8F1}"
1024,315,76,,1045,,2,"{39A62E63-10BC-44EE-936465D8AFD36265}"
1027,110,27,,1056,,2,"{A30C24DA-2551-4654-AE31E23C091B0C85}"
1027,12560,3280,,,,,"{485D940C-85C0-40BE-9E09B8F5D2A64472}"
1028,110,31,,1038,,2,"{EE7D9362-209B-4A01-8011CA6B5E0896A0}"
1028,12560,3281,,,,,"{2896FADC-AB9B-46D6-94F6273635964D50}"
1029,315,74,,1045,,2,"{8C42E1C5-FFC4-44BB-B1D1054988747084}"
1029,12560,3282,,,,,"{352937CA-E046-4D9C-91721305DA6482C2}"
1036,195,52,,1014,,2,"{9C63D204-99F5-4297-952B9DB959E6FB59}"
1037,195,65,,1074,,2,"{66BF4527-BC25-4E58-B400B1E50B12C404}"
1037,12553,42,,1074,,2,"{7AD81FFD-4414-4A3C-A95A56000355BFCE}"
1038,110,28,,3678,13,2,"{1D3DF9E4-7A9F-468F-B1E27A5DC592C35D}"
1040,110,30,,1038,,2,"{C14E96E0-4A7D-499A-91CE85468B55D5D5}"
1040,12560,3283,,,,,"{40334D21-56EA-4B4D-A54A8B5CD2D3D732}"
1041,195,68,,3024,,2,"{967755CF-A521-4F33-B77842B18AFEDC0B}"
1042,10,6,,1073,13,2,"{7FA2FF5C-9380-4C29-94E64DCFE3CFAC15}"
1042,170,38,,1073,,2,"{4FCB2F4E-3FDC-47B2-B7C4910A6ECD6A0E}"
1042,425,94,,1073,,2,"{EC4623DE-8CD5-4FE5-BDBCDE59DA3B269E}"
1042,12560,3287,,,,,"{806FC97F-BAC7-4AF2-83EE1CC6CC883C43}"
1045,315,73,,3025,13,2,"{16B7A177-54C1-4B49-B23AECA3F306CA24}"
1046,110,29,,1038,,2,"{777806D2-EAA9-447E-B7125661D4D6F5AA}"
1050,195,64,,1074,,2,"{A45B1935-B05E-464B-8E6F92E19AEBB9C3}"
1050,12553,41,,1074,,2,"{834DCFBD-6F99-4583-8B9B195A1E3BE578}"
1051,195,51,,1014,,2,"{2328CB44-E4E2-4D91-8AE9792860EBE8E7}"
1052,355,82,,3026,,2,"{9F980860-4404-4F78-B026D8995CA50057}"
1052,12560,3284,,,,,"{F179D5F7-AFE8-4C0A-BE242781B0516808}"
1053,355,80,,3026,,2,"{90F877FD-7FCA-4A47-938EF04C07649A76}"
1053,12560,3285,,,,,"{8606F2CE-4E92-4A41-89468A6CB463DDF4}"
1054,355,81,,3026,,2,"{6F17DA09-3199-4859-8FE4552650C2CF70}"
1054,12560,3286,,,,,"{80AF3121-5E11-4776-96725E3764B21909}"
1055,110,32,,2963,13,2,"{DA26BCDB-C860-4A12-8988381DEFB20C6D}"
1056,110,26,,3678,13,2,"{8CA27793-6442-455F-A82299B13E16220F}"
1061,80,21,,3023,,2,"{B911A89D-746E-4A16-9ADEA75BF9522A18}"
1061,10415,2111,,3677,,2,"{D1243EC5-6707-48F6-9668CE08120D8C2F}"
1061,12721,30,,,,,"{AE4B50C4-9FA7-4ADE-86A14623FE8C7074}"
1061,12723,2090,,,,,"{B5F67633-2F41-4C92-9F5AE56CC5088B4A}"
1061,20396,0,,,13,,"{C92CD138-627D-104F-999A6C6A0E53BE40}"
1062,195,57,,1075,,2,"{89243DC1-5BAE-48D0-A9B06B7DA0BB819E}"
1063,195,62,,1071,,2,"{09729C34-2792-49CE-A5B87A55A785143C}"
1063,12575,3365,,4886,,2,"{A0492488-AA4F-465D-B609F35854F88BCC}"
1066,195,66,,1074,,2,"{C71C3B65-8457-4476-96BD89AAAEE5379E}"
1066,12553,43,,1074,,2,"{A93D5053-6EB0-4645-B1DAA593387888AD}"
1068,10,5,,1073,,2,"{0EF2ABBE-FE3C-44B2-BA95866D818805F1}"
1068,45,13,,3022,,2,"{0AFA5288-EBEE-478C-9843FB6C3A6C2B8D}"
1068,170,37,,1073,,2,"{AC2166B7-793B-4041-BDB552F3C0649A61}"
1068,425,93,,1073,,2,"{E30EC41B-FE91-40B2-B1842FB83B7F494D}"
1071,195,58,,1076,13,2,"{DB113D0A-8114-419C-B2B194117E2225FB}"
1072,195,67,,1076,,2,"{296744D5-D2F5-4F47-B3C481642D50FDEE}"
1073,10,4,,3677,13,2,"{D51289A0-821D-4EFA-A05943FA03B59733}"
1073,170,36,,3677,13,2,"{9CE094B3-C1EB-476C-A6C651549FB806BD}"
1073,425,92,,,13,2,"{AC92B4B5-5178-4FA0-BA927EFE9D4820F6}"
1074,195,63,,1076,,2,"{973925B6-06E4-4E80-937ED7877D1F2CB5}"
1074,12553,40,,,13,2,"{F8020B3E-1794-4930-915FD286BAD72B14}"
1075,195,49,,1076,13,2,"{4B9A069B-EA23-453A-B41AF98AB7FC4990}"
1076,195,48,,3024,13,2,"{C075D3A8-D900-493A-90786D5CC4E524C8}"
1078,80,20,,3023,,2,"{85441F98-3CD6-414C-93A137F305A76581}"
1096,925,201,,1109,,2,"{410B33F0-41EC-498E-B47E472FBF5CA63B}"
1097,925,202,,1109,,2,"{2FF6B9DB-205E-4B4F-828E7D30A2FC97A8}"
1099,905,189,,1236,,2,"{01BD582E-FF70-45FE-86222C9B2F7A1373}"
1100,1250,258,,1111,,2,"{7C55C09E-1614-4E81-9BD9113746FE9F4C}"
1105,800,169,,1410,,,"{DADB0D6E-157E-4BB7-BA8B6A2EC9A2D280}"
1105,985,206,,1410,,,"{E82E020B-AA1B-496D-991E0981E063DA46}"
1109,925,192,,,13,,"{E60BA8DA-CD7E-4416-BC90E5CE325AFA7D}"
1111,1250,257,,,13,,"{8AE0FBF8-F0AC-4C62-B3EE82DB8D65FE6C}"
1116,515,110,,,13,,"{C2556DBE-AB7F-4295-BE75FF7A9042A3A5}"
1116,540,115,,,13,,"{004EAB62-97E8-415C-8173E5ED410BE7B9}"
1156,1250,259,,1111,,2,"{6A3F0432-4639-417A-AF9F79436F4E177A}"
1166,1195,248,,1278,,2,"{0796FDB2-E128-407B-9F1BBD3F481B8EF9}"
1169,620,133,,1202,,2,"{A62F59CF-75A0-4F09-AA71B4938849A5A6}"
1170,925,197,,1109,,2,"{E3E7ED9C-0C3A-4D00-B972B6CB929E08B9}"
1171,925,199,,1109,,2,"{0A0C0E96-BF73-481F-A09FA1F06088E84A}"
1177,620,134,,1169,,,"{EFED9DB7-9632-4BBD-B34CFC1E00697FF7}"
1177,1115,230,,,13,,"{25AC5739-DF6B-4374-B788457AA75EA77C}"
1177,1180,243,,,15,2,"{D8DC83DB-44E3-4B3F-8FE415D7BB8AE125}"
1177,1195,247,,1278,,2,"{9BF3408E-59EA-4C81-8641709263501C01}"
1179,1115,231,,1177,,2,"{94954165-74F7-428C-87BFD633B84CB76A}"
1187,925,200,,1109,,2,"{29C91AE4-0F7A-4A90-8C0E11063B407DA6}"
1192,1250,262,,1111,,2,"{BBEEF796-693C-4EE5-8C24AD299C9F778E}"
1196,620,135,,1169,,,"{D4F9CB51-6689-45BB-BEA7863C19542E94}"
1199,570,122,,1200,,2,"{37CB7155-3B8C-46A5-B7D93B8B73706A82}"
1200,570,121,,,13,2,"{9DAD4300-4BCA-441D-A949B61E7EA46CFE}"
1201,570,123,,1200,,2,"{4072B219-6745-4F1B-A4749678E622960E}"
1202,620,131,,,13,2,"{4B373D12-AFFB-418E-B91B9168B126D852}"
1205,925,195,,1109,,2,"{F96FF7C0-15DE-4261-B79AD04094680481}"
1216,735,158,,1253,,2,"{1134DA4A-34DB-4865-B82F2FBBDDA5053C}"
1216,985,216,,1254,,2,"{7892ED1F-C19C-40F4-BA0D578FDDBE6C77}"
1217,445,104,,1254,,2,"{2ED44CF3-29C7-4AE6-8172A9174EE3AD3E}"
1217,800,178,,1254,,2,"{4E6118DE-9C3E-4ED2-8F63680B3E235DD3}"
1218,735,159,,1253,,2,"{D93441E6-B55E-40ED-980580C3343BB89E}"
1218,985,217,,1254,,2,"{302EF5FF-8E27-4EED-B5B4B01F27B47910}"
1221,445,100,,1271,14,2,"{05227FC6-D550-4463-A5686D02820AF4DA}"
1221,800,176,,1271,,2,"{8C81078A-E2FE-4274-82BB8793AC70F526}"
1221,985,214,,1272,,2,"{C2B45E0A-81F8-476A-83505A7DFD3A04D1}"
1223,800,185,,1353,,2,"{8A193CCB-9732-48CC-81F075D107580CC7}"
1223,985,221,,1353,,2,"{24C431FC-F764-4589-B9C9B56335976DC0}"
1232,445,105,,1254,,2,"{D046CE8D-6ACB-44A3-97C8BDB73DF73B8B}"
1232,775,164,,1264,,2,"{3E6E41E3-600F-4DA6-A72FD5B1560F7C46}"
1232,800,179,,1254,,2,"{AA07452A-932D-4ECB-9AD18A2772019160}"
1233,445,102,,1271,,2,"{5525F059-208E-47AA-A3D1F189C6480CC2}"
1234,445,101,,1221,,2,"{77A4ADAE-8C2C-4BE4-A36C35FB026FFF93}"
1236,905,188,,,13,,"{75A01106-000D-41D5-961D6076230F4993}"
1237,925,193,,1109,,2,"{B93D3AC9-6E36-4F29-8C8FF73D4D8279C9}"
1243,1115,233,,1177,,2,"{2CC82DDA-8881-44B5-8118451CBD7EA5A0}"
1244,1115,232,,1177,,2,"{9D0D0ACA-3FDF-41FB-BA94BCE5A68B29BA}"
1253,735,157,,1261,13,,"{880DA13F-0E87-4182-9CC6ADF6644CFD1D}"
1254,445,103,,1271,13,2,"{0B2E5A4C-E636-4E24-AB78BE1E1D7C909A}"
1254,800,177,,1271,13,2,"{93A22DFF-893D-48F9-A85A54D6A4DA65E2}"
1254,985,215,,1272,13,2,"{0DD982A4-55CF-4034-B407E2F8E3E822B2}"
1255,445,106,,1254,13,2,"{EAB7B3C8-00D2-4E54-97406C43C626F0D6}"
1255,800,180,,1254,13,2,"{97285685-3D39-414C-9CDEFE2D6E1638CE}"
1261,735,156,,3399,,,"{2ED7FDAB-7DF4-4A0C-9A35F255BEB31B74}"
1261,985,212,,1263,,,"{E811ABF5-D262-4AA8-A46E3FC245BD2121}"
1262,985,211,,1263,,,"{0D637BF4-827E-4CAA-B7D045BDF928D3A5}"
1263,985,210,,1406,,,"{C732F9BB-537C-476B-B377682B13129CB3}"
1264,445,98,,3399,,,"{43AA6209-B7A3-4F16-91D0CE7B7252D575}"
1264,775,163,,1406,13,2,"{E652457F-1801-4761-9E63C518CC165F72}"
1264,800,174,,1266,,,"{153086E7-F183-4CBB-B8EF638CB1F2BE0E}"
1265,800,173,,1266,,,"{E440F04B-4375-435A-B3E9ED3CA21F4A37}"
1266,800,172,,1406,,,"{BB3474C2-A33E-4A39-94808809E80651B6}"
1270,925,196,,1109,,2,"{9C5FDABA-B0D0-4722-885FC3AA89BB7B0B}"
1271,445,99,,1264,13,,"{B1679814-2F7A-45C4-B6DB8956106D8115}"
1271,800,175,,1264,13,,"{8628151E-B5CD-4636-A6A6D787F4721D62}"
1272,985,213,,1261,13,,"{A0786AC7-269D-4763-BA8472BDE6F0F576}"
1274,1180,244,,1177,,2,"{9AC3A4C0-E65B-4446-AAF1C7B01942B6F3}"
1278,1195,246,,,13,,"{832CDACC-A524-42A9-B04CCED160CD10B9}"
1293,1250,261,,1111,,2,"{6D541E32-AA2C-4E16-B4ADFCA46A032BE1}"
1303,925,194,,1109,,2,"{EA0E9CED-E85C-4429-A7B118FD1A57F189}"
1341,800,183,,1353,,2,"{199B54C2-FC90-401D-8078A6705BB10620}"
1341,985,219,,1353,,2,"{2495E446-5D2F-47BC-AAED904B3AA522A9}"
1353,445,108,,1255,,2,"{98879EDF-81EF-4DE8-B1C47155A89C18A4}"
1353,735,160,,1253,,2,"{0B2D2104-7B64-4350-80AAC77D8986CC3E}"
1353,775,165,,1264,,2,"{77D98329-707E-445B-80AFAE5E4EB68AD4}"
1353,800,182,,1255,13,2,"{BFC56874-93A2-45FC-91276BDEBFA653AA}"
1353,985,218,,1254,13,2,"{9418B949-84EB-49A9-B461530D3E785716}"
1356,800,170,,1410,,,"{F44FF3FC-6657-4480-9332FBD29E63FE8E}"
1356,985,207,,1410,,,"{2DDAE84E-78FA-4C46-B007CCEA71CA50BC}"
1365,925,198,,1109,,2,"{17EF5002-912D-484F-BC5C877BF5E5FB40}"
1386,3315,675,,,13,2,"{A1B96550-B33A-47BD-9BB7BCE78F3B4D0E}"
1391,515,113,,1116,,2,"{9E98518B-A47D-4FCF-BD252B3DD61112D4}"
1392,540,119,,1116,,2,"{98489657-D836-43CF-8D560AC1BD8C523C}"
1394,985,209,,1406,,,"{C8F042BE-19E3-4FAB-98A1936AA1F16F1A}"
1403,905,190,,1236,,2,"{FE5D02D9-2B38-4AED-B3474EDCF9818159}"
1406,775,162,,,,,"{5CD5DC23-EB44-4BC8-8C9C3ED47AFACF02}"
1406,800,171,,1356,,,"{3241133A-62D3-4A36-82292A211260F2A4}"
1406,985,208,,1356,,,"{D2DF14B2-C2DA-499E-9243ECE794D5B151}"
1408,800,167,,,,,"{009101A4-F9AE-46ED-B2B0B932001A0FB4}"
1408,985,204,,,,,"{8DA1DE56-E8B7-4AD4-95710E4E855457A7}"
1410,800,168,,1408,,,"{D94B94B5-4F05-4443-96A7C3A26A68CCC8}"
1410,985,205,,1408,,,"{F6C4CD87-5047-448F-8790FF8CFE3F6F03}"
1438,800,186,,1353,,2,"{A61B8216-904C-4960-AF348F573CBB47C3}"
1438,985,222,,1353,,2,"{B4835B4A-9AC9-4665-B550853E7C97E2BB}"
1455,540,118,,1116,,2,"{5D104302-2469-4E83-AAFA8CB7D06F6B9C}"
1456,515,112,,1116,,2,"{E107EBC7-C17C-48F0-87EBA7728EFFFA39}"
1456,540,117,,1116,,2,"{C6C0C120-505A-4FE2-AF01DEAABE1652AD}"
1459,620,132,,1202,,2,"{A35FD3E5-11C9-4C1D-8951CF3C052B3B11}"
1479,1250,260,,1111,,2,"{452089BF-E38E-4AB1-9B82A940A420753B}"
1480,515,111,,1116,,2,"{017D2BB6-6E86-4387-AB5AB94F045858A8}"
1480,540,116,,1116,,2,"{478D0B7F-DA2B-4E0B-87C1907CA5E5CFA3}"
1481,445,107,,1255,,2,"{110C2A78-0BB8-422E-8227E3BD38FA4A69}"
1481,800,181,,1255,,2,"{DB5CF69D-C7C5-44F4-A49D70D0170DCF68}"
1518,1285,264,,,13,,"{003BD471-BAAE-42A6-AEBEF42042E39B1A}"
1518,12538,3127,,,13,,"{7C418BDF-A1B6-48F5-B6DFA5222F0852E5}"
1520,1285,266,,1518,,2,"{A11EECDF-1B5B-49CD-962AF7284248D143}"
1521,1285,265,,1518,,2,"{CCDE5CE3-C136-4B24-BF725352A488D81B}"
1533,1305,273,,1537,,2,"{D9101CEB-86EC-404F-B380E6A52C51992A}"
1535,1305,269,,1539,,2,"{0218FA32-0F65-485A-82A83AA5EF1E058B}"
1536,1305,272,,1537,,2,"{B87FB7AA-1875-49CC-B60666D42A1BC70B}"
1537,1305,271,,1539,13,2,"{61D3498B-E466-48A0-AD033AAEB8D3B46D}"
1538,1305,270,,1539,,2,"{EB37FDAD-F455-4451-B63924481CE74882}"
