SubCategoryID,StartReleaseID,EndReleaseID,RowGUID,SubCategoryVID
10,1,,"{021A6B8E-024B-4876-BDDC0928BF6C85D8}",10
45,1,,"{905A8CFA-3E0B-4ED6-B87FBAB4AB83A565}",45
80,1,,"{F115D21D-B403-4884-806A4AB8F8481087}",80
110,1,,"{1E25156A-5FCC-4A15-ABE6E159F3605A5B}",110
170,1,,"{AF64E699-7B6B-4601-85F0325A445DCF46}",170
195,1,,"{F2F3973F-BDA0-4752-BBEC0A005CBEA27D}",195
315,1,,"{2E35117F-21C6-4F29-B6BA5B1D6E32BCFF}",315
355,1,,"{C10C719B-9472-47CC-A00EEFECDEA3E955}",355
390,1,,"{07F0A27C-B98C-4660-AF5CB7636068D2C1}",390
425,1,,"{C721E99C-3190-4F0B-8C089FC1CEFBF30F}",425
445,1,,"{980AB16D-C846-4F79-AF23272D0AF6772D}",445
515,1,,"{BFDF1E3C-E68C-4062-AC9E891A066D3C77}",515
540,1,,"{7534CA71-99CB-4F6D-AA181AF8EDB0422D}",540
570,1,,"{33B16167-5559-4122-AB667BE4E4D0F058}",570
620,1,,"{2794CEA8-9C41-47B3-8093C257B84728C7}",620
735,1,,"{A760A3AC-2359-4625-8C861F2D03216C79}",735
775,1,,"{262F485B-EF13-45A1-8972BD342A378115}",775
800,1,,"{5676C877-8F82-4C2D-9E2AB1E1305727D4}",800
905,1,,"{F822C3C8-2615-448C-A043AEBCA3F14BF9}",905
925,1,,"{8FAFF8C3-2404-4C8C-B794171A3807065C}",925
985,1,,"{AC3C2626-4CFC-4909-AFBB56523B1F44F0}",985
1115,1,,"{FE9238C5-9CF7-450B-A3E476AFF4A83696}",1115
1180,1,,"{710288CB-838C-4488-A231C0F3D1065203}",1180
1195,1,,"{ADBAC336-805D-4436-A7DF97F2DD8B8065}",1195
1250,1,,"{E2164D03-AD3B-4B6F-925E7DDBFC33A5D6}",1250
1285,1,,"{5137F95A-6307-414B-B37F3DB67F08AD18}",1285
1305,1,,"{953D51E0-990D-4FB8-B9778A5746E1C6AB}",1305
1340,1,3,"{CC903022-A453-467E-95BBAE9E2770F42B}",1340
1375,1,,"{464B97C0-4A14-4DCE-96E8F24034D750BA}",1375
1530,1,,"{4AF8D894-676F-431F-A5C516ED94BC5C25}",1530
1600,1,,"{3FB04C63-CADA-4C2E-B5AA8679516EA606}",1600
1635,1,,"{5A0B79A6-7DC5-407D-BF22D8775432DD5F}",1635
1655,1,,"{DF3EFDDB-E0CC-4C75-A75FC2FBC80FF15E}",1655
1700,1,,"{144D72C2-39AA-4C4D-9BC5935F329AC611}",1700
1730,1,,"{F10E4D3D-0619-4761-8BD509380E38CFA5}",1730
