SuperCategoryID,CategoryID,StartReleaseID,EndReleaseID,RowGUID
1019,1018,3,,"{9768B682-77F7-4443-950D798E99289AB3}"
1019,1028,3,,"{EA6AD57C-AD24-1A48-A3A2A5BC315CC2A8}"
1021,250,3,,"{34ADBECC-BCE8-6748-B42A5527772364AA}"
1021,1023,3,,"{57F16958-F482-EB41-B36C1965795CEAB3}"
1039,1007,3,,"{8B70178D-4CA4-744E-AACC17BA94C8F0DF}"
1039,1030,3,,"{E303673B-BD3B-3C4F-A5982C9E0C614AD5}"
1042,1030,3,,"{6285193C-E1AE-9647-AF188834F056CACF}"
1042,1041,3,,"{D1C0455B-05FD-7B46-88DE9B1BF2A35A42}"
1044,1036,3,,"{585FE5CB-4AC1-7046-9FF7BFA76F572340}"
1044,1043,3,,"{74ADE940-4DC5-ED40-9CF7D04BD4DEEAD0}"
1045,1036,3,,"{D57E41B8-BA64-E947-BCA0A9223D419176}"
1045,1047,3,,"{60E10ABC-CBDE-5C4E-A8E846B59E769B95}"
1046,1036,3,,"{2F2ACBDA-275C-1B46-B2066783362B8AA3}"
1046,1043,3,,"{787360F2-20B4-F040-A9E4F43146388C56}"
1046,1047,3,,"{C8F92FAA-18D3-F64B-8D594F0A6AC39075}"
1051,1030,3,,"{A444A860-FE40-2144-9A8509CABD36A00C}"
1051,1050,3,,"{6FD32461-3248-5B48-A99AB9E31707DE3D}"
1054,1007,3,,"{C6DC8507-58C2-6A42-AE8E253F459E6FF8}"
1054,1018,3,,"{F9FD5342-E54E-AB4E-941FF42ABACD6D4D}"
1055,1007,3,,"{07C7D6D3-ECCE-094C-873B28D48D19A594}"
1055,1010,3,,"{694E952C-531A-FD49-857F1089FCE2C350}"
1055,1018,3,,"{CCAEB795-6F8E-E04E-9985C7E387844E86}"
1056,1007,3,,"{41F5D876-20E5-AF4A-B620D8AAAD5B1C4D}"
1056,1018,3,,"{9A5733D1-CE10-574C-A3AE44AC4B5AD9FC}"
1056,1037,3,,"{2E2590D7-D70F-854B-B75F9BF0E8F21391}"
1058,1018,3,,"{D31B29AD-E848-B34E-B77AC0097AFB4E6A}"
1058,1028,3,,"{F34DC7E4-2391-3443-A9E67A20C31B4C83}"
1058,1037,3,,"{9173712A-C066-4C47-A1BDFE9B49E76685}"
1058,1060,3,,"{CD957177-3A5E-7944-83C08929CA77EE30}"
1065,1007,3,,"{689A05FA-5581-224E-B7782CDA747C88FF}"
1065,1018,3,,"{2B4AC113-B8A3-7641-BFFA2069148092E2}"
1065,1050,3,,"{26E4F3DC-96EC-4C4F-A0A03AFE9EF83363}"
1066,1030,3,,"{EEBC154F-A2C2-3E42-890875A366C172FD}"
1066,1033,3,,"{FD6C94A3-AB7A-184C-ACF4A74AF5CA872F}"
1067,1007,3,,"{EAA14457-2DDA-F842-932F6D42EB51B46F}"
1067,1022,3,,"{D9248013-0563-AE44-8A6ADF7C8A131A00}"
1067,1028,3,,"{D60B6976-C124-3748-9825AD78358C602B}"
1068,1007,3,,"{3BD49227-C408-A748-B315216D7645FF9E}"
1068,1018,3,,"{FFA85B70-5524-AF49-913579C1879739EA}"
1068,1032,3,,"{8C039116-5ADC-5647-A78254BA9C1604DC}"
1069,1007,3,,"{72790A18-F1C4-5548-959C85C670D50231}"
1069,1018,3,,"{5F59AE83-E1F6-6C4E-905AB7F63C6F0808}"
1069,1030,3,,"{968F0BB0-4CFF-F144-BCA736F73AF377B1}"
1070,1018,3,,"{6E66F77C-1B8A-AD4C-AA105B3634B03105}"
1070,1032,3,,"{5E339A59-B9A2-8D45-8D6A3DDBA0AD83B9}"
1071,1018,3,,"{1A61D8B0-DCC0-4749-8C1CD61FC3F16C31}"
1071,1037,3,,"{FA35F944-25A9-AD4A-846DC3C63D0BB8F0}"
1074,410,3,,"{5821186C-8462-544F-A84E79892C509E81}"
1074,1038,3,,"{22E07049-2A4C-2645-BBEA55DF2D542D5A}"
1075,190,3,,"{059D83E7-0D91-3746-8F6449D9CBFA90F6}"
1075,1013,3,,"{978D2184-A239-B449-BA94931E2D5C66FE}"
1076,260,3,,"{8EA91F44-0360-424C-862E0DBD4235F8C9}"
1076,1022,3,,"{E9CF74CA-324E-0C43-9A5D211E9F661F70}"
1078,1043,3,,"{E6373690-4E48-AA4F-B62CF2E8E9FE77BA}"
1078,1047,3,,"{5FB27921-2D49-D64F-A695606512D3AECD}"
1081,1043,3,,"{4F219A13-5AF2-3C4A-A4064CA31DB42380}"
1081,1048,3,,"{9885175E-563F-8648-A4DBF3A18AA0C7F1}"
1084,1007,4,,"{1A5FA5E6-5C94-6F4D-A19F1648FE3CCF11}"
1084,1010,4,,"{B7004E6B-85C4-134B-84471A558C93A475}"
1085,1018,4,,"{122F0444-806B-1B44-99C44A8D872CC84A}"
1085,1041,4,,"{12A65C1A-E286-C049-85CA91A26BA122F9}"
1097,1035,5,,"{9D5E9C78-35AB-ED4A-8B6CA4AFCF89217F}"
1097,1064,5,,"{A48EB09E-F1BF-7849-B362BFB2845D53A9}"
1098,1007,5,,"{01C4DCE7-1BCC-DA42-9249BB76B6A7E9A8}"
1098,1028,5,,"{543967AF-6E79-9747-820B8A3BCE5E5125}"
1099,1030,5,,"{48AF568B-CAC9-144E-96DE537F6FAF8FFB}"
1099,1047,5,,"{8719F204-49D0-F64D-B28F2A9CD67418B4}"
1099,1048,5,,"{61C0E6D1-686C-0F4B-AD3FE3B53CFEBB98}"
1100,1030,5,,"{E20994EA-2776-F643-8F0DC33DF8219836}"
1100,1041,5,,"{93B4E021-0F5B-3546-811B1452D9B38ECA}"
1100,1047,5,,"{6F4F7E90-AA70-3342-B8298712626C0F7A}"
1101,1035,5,,"{E48B8C07-6C2A-E045-B79536BF73CA9A11}"
1101,1049,5,,"{3AAC036D-4A4D-9B4B-A56D28E199E828ED}"
1102,1007,5,,"{CC2783ED-F3D7-014D-8BB27B68CC5B5661}"
1102,1018,5,,"{0B528B0D-6A91-C44F-9301A5A628B24E54}"
1102,1041,5,,"{C1BF6C79-4403-9E47-9667A376929E19B3}"
1103,1025,5,,"{C243988A-4D2F-E24A-8E0632046D1BB5EE}"
1103,1036,5,,"{EBAC3C5B-624A-3846-8CC878E84FF9A3FE}"
1103,1047,5,,"{FE2A318D-2C13-5247-B6E6557D76EE6539}"
