Code,Name,Description,Type,RowGUID,StartReleaseID,EndReleaseID,ParentTableGroupID,OwnerID,TableGroupID
"Additional_Liquidity_Monitoring","Additional Liquidity Monitoring",,"templateGroup","{7B53D04B-EFD8-4AB0-B70DA42634AFACD7}",1,,,1012,820
"Backstop","Backstop",,"templateGroup","{6207CF93-D6BC-403E-925A3369373E3814}",1,,,1012,821
"Capital_Adequacy","Capital Adequacy",,"templateGroup","{A3985D81-5F6D-48E4-8D51E208EE2EB0FC}",1,,,1012,822
"CoRep__General_Information","CoRep - General Information",,"templateGroup","{8F5649EF-93F0-46C7-92A5D95DBCC90417}",1,,,1012,823
"Counterparty_Credit_Risk","Counterparty Credit Risk",,"templateGroup","{01F7C4A6-B437-4D15-959D2E6482A84798}",1,,,1012,824
"Credit_Risk","Credit Risk",,"templateGroup","{47CAC4C1-28F3-4AE7-A4FCEDC062182C50}",1,,,1012,825
"FRTB","FRTB",,"templateGroup","{7612DDC5-1CF2-448B-B80A31E6E9EFB93C}",1,2,,1012,826
"Group_Solvency","Group Solvency",,"templateGroup","{F52D7DD7-BA10-4553-8353ADBC4A4E2AC4}",1,,,1012,827
"Large_Exposures","Large Exposures",,"templateGroup","{4D9978A7-2FD6-4566-A6529577F35F8963}",1,,,1012,828
"Leverage_Ratio","Leverage Ratio",,"templateGroup","{CE7332E3-0A09-4C02-9D59C1AADDC3B02C}",1,,,1012,829
"Liquidity_Coverage__Delegated_Act","Liquidity Coverage - Delegated Act",,"templateGroup","{64E58C14-EE64-4DE1-B6CA76168B325FBF}",1,,,1012,830
"Market_Risk","Market Risk",,"templateGroup","{B43E9A8C-33EE-4C6E-B69BF0D18EFB9A61}",1,,,1012,831
"NSFR__Net_stable_funding_ratio","NSFR – Net stable funding ratio",,"templateGroup","{1FB45D20-0E8D-4818-828F77F5BACA3A14}",1,,,1012,832
"Operational_Risk","Operational Risk",,"templateGroup","{75E2566D-7FB8-49A0-9059497603648F42}",1,,,1012,833
"Prudent_Valuation","Prudent Valuation",,"templateGroup","{075557D9-43F8-4116-89C3AA895DFAEE8F}",1,,,1012,834
"Sovereign_exposures","Sovereign exposures",,"templateGroup","{2F94E57B-0B7A-4DFD-B37CD8C3EBC14508}",1,,,1012,835
"IF_Class2_Concentration_Risk","IF Class2 Concentration Risk",,"templateGroup","{FD573164-2734-4710-A6FC3092F332C1CE}",1,,,1012,837
"IF_Class2_KFactor_Requirements__Additional_Details","IF Class2 K-Factor Requirements - Additional Details",,"templateGroup","{772CDACF-4295-432E-9574778B9DA7AD93}",1,,,1012,838
"IF_Class2_Liquidity_Requirements","IF Class2 Liquidity Requirements",,"templateGroup","{46CF7221-922F-4780-8127DAF5EFF55234}",1,,,1012,839
"IF_Class2_Own_Funds","IF Class2 Own Funds",,"templateGroup","{0CE47020-025B-4D56-8A890704A5D74F08}",1,,,1012,840
"IF_Class3_Liquidity_Requirements","IF Class3 Liquidity Requirements",,"templateGroup","{00982610-3367-4865-AC8BDBDF3EDC14EE}",1,,,1012,841
"IF_Class3_Own_Funds","IF Class3 Own Funds",,"templateGroup","{8BFA3DF1-49F3-49A7-ACCC33CED48F2EB7}",1,,,1012,842
"IF_Small_and_Noninterconnected_Investment_Firms","IF Small and Non-interconnected Investment Firms",,"templateGroup","{9761567A-4918-4666-9F9F31BC187F5218}",1,,,1012,843
"AE__General_Information","AE - General Information",,"templateGroup","{246B6F9A-9B66-44A2-8649898BF25706CE}",1,,,1012,844
