TableGroupID,TableID,Order,StartReleaseID,EndReleaseID,RowGUID
820,364,2,1,,"{408947E8-87FA-4453-96F6418D849626BB}"
820,365,2,1,,"{8A56D064-895B-4F46-91470D51D168881E}"
820,366,3,1,,"{72BA090B-EA6C-4A7C-846A13D55DD56EA5}"
820,367,3,1,,"{81B9382E-A902-4AE3-B0896879AC0467C7}"
820,368,4,1,,"{E3C545BF-B7E1-4D73-A408917D5A407C09}"
820,369,4,1,,"{5CDBD0AC-2D41-468F-BB32E607D331DE6F}"
820,370,5,1,,"{2E09CEC1-9037-4A19-84E93F6247E15677}"
820,371,5,1,,"{D9294586-8EF6-4A98-ADA09D760FB3357F}"
820,372,6,1,,"{3C9B6AF1-DA25-4A54-8C69F114CB26CFFB}"
820,373,6,1,,"{BDE02CC9-C59B-41D9-B37974526C021FD8}"
820,429,1,1,,"{9176DF01-8F16-4685-919F64ECC9BFCA4B}"
820,430,1,1,,"{EC2A89C0-F65C-4912-91C183BE87592745}"
820,431,1,1,,"{4AAAFABC-158B-4A85-AD87F051C64E69E2}"
820,432,1,1,,"{9484F039-D71D-4125-A92149F442E93642}"
820,438,1,1,,"{45551F80-CD42-4873-AB072953E614FDDD}"
820,440,1,1,,"{B1E11730-F5DD-4BD0-88736906B7265321}"
821,644,1,1,,"{D17FAE46-DD9D-4A19-9CB63BBF191A9D1F}"
821,645,2,1,,"{F5C52B35-091A-48D3-A92A8C4CD2DCCBC4}"
821,646,3,1,,"{9057BD08-6547-4714-B905BCABE9774454}"
822,74,1,1,,"{22E15346-DBF2-43FC-90A687F3E2309A39}"
822,75,2,1,,"{293B5DF1-29CA-44FB-BEA0AC7CA5D8C0B4}"
822,76,3,1,,"{CBC73966-9197-4AEC-A712D50F021ED4F3}"
822,77,4,1,,"{B317FE7B-332A-4527-B96BAB428DD57C19}"
822,78,5,1,,"{B61FCBD3-000A-421B-A67790D8F2BD0E2D}"
822,79,6,1,,"{59EDF93F-F2E0-4FB9-8B74351D0735693B}"
822,1831,,3,,"{8D319652-6B07-E14A-964D8CED2E7AA789}"
823,304,1,1,,"{D4E2CEAF-6B95-4183-AD52C3CF4A93E054}"
824,659,1,1,,"{DD10A40C-5BA0-41EC-AF2EF3DC30055021}"
824,660,1,1,,"{6F88478E-1078-4A3D-B81854E0CCADFD19}"
824,661,2,1,,"{D114D5F2-F5BD-4FBF-9FCAD2D4FE663305}"
824,662,3,1,,"{ED44DD54-E67D-4330-B9D7CB1BD5E63A4C}"
824,663,4,1,,"{F226E91A-1571-4438-8AF6911E0283D1F4}"
824,664,5,1,,"{B437ED4A-B6FB-48FF-8EF88C55F846D31B}"
824,665,6,1,,"{0A04D0B1-6925-4B1D-B540E537DA84D27F}"
824,666,7,1,,"{06753A30-75BA-4CB5-BED1E19F8C70A9E9}"
824,667,8,1,,"{4AB782F8-6B93-4CA3-8D057EE71292FCCC}"
824,668,8,1,,"{7C380253-4B4C-434D-ADC47B31C2305048}"
824,669,9,1,,"{4077EB7A-3896-468B-BEA846228E66DE80}"
824,670,10,1,,"{90D37D99-6E5A-4D69-884F369DD185E0FB}"
824,671,11,1,,"{16C79478-39BD-4AA7-81A7BE0746574CA0}"
824,1836,,3,,"{C72CDE5A-8B81-7B4B-B786FC9F206882DF}"
824,2129,,5,,"{A1503138-CCCC-0746-A0C72D7507262DE4}"
825,81,1,1,,"{835D7479-200F-42EE-AC0F75896C691110}"
825,82,1,1,,"{D88A60A5-2E64-4BF0-A25DFF976E326707}"
825,83,1,1,,"{A695C4F8-8136-476F-8D0C327B7F0439B2}"
825,84,1,1,,"{602A2C16-049E-49FC-8282215AD2E0C12D}"
825,85,2,1,,"{2F9F3F0B-FFA8-4088-BC3FE38F7F400072}"
825,86,2,1,,"{350C9AA1-3867-45F3-A8E74581C5AC5D91}"
825,87,3,1,,"{24517496-9C38-4AD8-85C8573D705E53DF}"
825,88,10,1,,"{692227E4-92C1-4F4F-90B0F5F1CEC40399}"
825,89,10,1,,"{8248D684-2ECA-477C-88C7DAAF1140BFC9}"
825,90,11,1,,"{1834D3F3-429B-4D1A-ADD9C3EC8F994BE4}"
825,92,13,1,,"{3C729E37-6CDB-4FBB-8F4C14CDA9BB435A}"
825,93,14,1,,"{1434246C-AC3C-4368-BE77E2F31C7BEA99}"
825,94,15,1,,"{8D450CA8-3B5F-41CC-BB9DCFB19A68E1B3}"
825,97,17,1,,"{65F71D32-C9CB-439A-BB6064988836E0DD}"
825,98,19,1,,"{5A9433F3-EF5F-43E8-8521B71E3A848668}"
825,402,12,1,,"{CD3D8E70-0D4D-4BD9-9FFD86FEAF4025C5}"
825,481,18,1,,"{66C4BDEF-DA3E-4FF2-95E01B0EBFDDBC2A}"
825,484,16,1,,"{5F4B0EBF-1873-46ED-871BA6BD748E4866}"
825,649,4,1,,"{B946D988-3181-43FA-9478F7B8FE21B793}"
825,650,5,1,,"{175F944B-14EC-4CD2-A2E2961439A04F16}"
825,651,6,1,,"{E8DCFE1F-A638-48CF-A3FA834F8E880DD2}"
825,652,7,1,,"{C480DD9F-544E-46FF-A102C86FC64B55C4}"
825,653,8,1,,"{B0386F47-D2B5-4325-B9A326A49F8518D9}"
825,654,9,1,,"{E93B66E2-4771-433C-9FB1669055465C71}"
825,692,7,1,,"{3140A0A4-76BC-456D-8ED6C1F49F19D595}"
825,1808,,3,,"{26809B0E-0540-9F4E-BE486D53182509A3}"
825,1832,,3,,"{97557DAD-E972-454B-B37BB244EA64108B}"
825,1833,,3,,"{22B3ECF9-729F-A94F-B2CEDF73094ACE13}"
825,1834,,3,,"{D5D0E5C3-9674-EF4D-A3A697777B93546D}"
825,1835,,3,,"{6C7632C7-ABFC-D74E-ACC9DE56D84B9B88}"
825,1839,,3,,"{D48AD2E3-E6A1-4248-9DCCDD196FB1E832}"
825,1843,,3,,"{06FDE886-AA9F-9446-8A336D72CE3E5EDD}"
825,1844,,3,,"{4B410A60-2A53-4445-8BCA3B83F015D326}"
825,1845,,3,,"{C269F6D7-E4FE-5347-A6603322EC4ECA05}"
825,1846,,3,,"{955AEF7D-7468-BC45-8A4ED785611BE474}"
826,647,1,1,2,"{C567887B-97A6-459A-B9FF2AD46F417D11}"
826,648,2,1,2,"{AEAC9723-CCD1-4A40-9435FF0043E4A358}"
827,389,1,1,,"{E335A792-148A-47FB-919FEB3EE4C8691A}"
827,390,2,1,,"{2A64B88E-1EEC-4E06-BFD43E440CEA649E}"
828,111,1,1,,"{EEDA6ABA-AB70-441C-92160DB96E5223A0}"
828,112,2,1,,"{3856E5D2-663E-413C-880DBBAB8E953DCD}"
828,113,3,1,,"{86593D2D-35D2-408E-83348131CD29EDA1}"
828,180,4,1,,"{508490C3-0CED-4AEB-B4ED73737A15A3D8}"
829,120,3,1,,"{AF09DF1F-5147-42B1-BBF3A0AE4F3E44A7}"
829,306,2,1,,"{AC93C254-0D16-46DC-85EBAC51CC759211}"
829,307,2,1,,"{A3857598-BF3E-4DC2-A8D60AA882252B0D}"
829,308,2,1,,"{7F9A05A7-B6B8-4873-9CCE25B60F878B52}"
829,391,4,1,,"{309200A7-0F9F-433C-BE55D9FF8A33AEDE}"
829,655,1,1,,"{595F40B7-DFCE-48FB-A6A06F5F48E9F8E0}"
829,656,1,1,,"{10E94993-9CD0-48F4-A42B7D6F8565D69A}"
829,657,5,1,,"{2EA923A3-FA2A-40B7-924182EE8869D5F7}"
829,658,6,1,,"{4369422C-9945-42B5-A564282E38EBEA3A}"
830,392,1,1,,"{B18A7FC5-BD35-48B0-BE1DDC262062E143}"
830,393,1,1,,"{892FAA10-974C-4F27-A540F0CB63A5ECA6}"
830,394,2,1,,"{EEABFEF4-2688-4A0D-AB311696F904B320}"
830,395,2,1,,"{DA9B58E2-2246-4E81-A72A72872EF5AC53}"
830,396,3,1,,"{91D38CBC-F979-4A2C-8EAB0F526545046D}"
830,397,3,1,,"{669D4D7F-7417-4FAE-94F39EE8C6561A64}"
830,400,5,1,,"{4109F21B-F9D1-4049-AA5B53184B0C4003}"
830,401,5,1,,"{9CE19698-1379-47ED-AAB2BCA77ADDFB6F}"
