Code,Name,Description,TableID,AbstractTableID,KeyID,PropertyID,ContextID,StartReleaseID,EndReleaseID,RowGUID,TableVID
"P_00.01","Nature of Report (FP)","Nature of Report (FP)",327,,,,,1,5,"{4B5B3029-ABE7-4067-9EA53C244ED910BE}",984
"C_17.01.b","Operational risk: Thresholds applied in data collections","Operational risk: Thresholds applied in data collections",442,1410,,,,1,3,"{73478A72-6D97-4ADE-B6FDCF28EEF58840}",1277
"Z_01.00","Organisational structure (ORG)","Organisational structure (ORG)",451,,36,,,1,3,"{5B8BE014-A197-4AEC-81ECF6284576BFDA}",1411
"Z_07.03","Mapping of core business lines to legal entities (FUNC 3)","Mapping of core business lines to legal entities (FUNC 3)",460,,20,,,1,3,"{12736485-52C2-4145-BE4676D5CD2D74B4}",1420
"Z_10.01","Critical Information Systems (general information) (CIS 1)","Critical Information Systems (general information) (CIS 1)",466,,95,,,1,3,"{95851920-3E3B-4868-9E6DDB3BA5ED74DB}",1426
"C_32.04","Prudent valuation. Concentrated positions AVA","Prudent valuation. Concentrated positions AVA",448,,75,,,1,3,"{D1F2ACF3-7C5F-48F7-96DE75332FD0D459}",1459
"C_75.01.a","Liquidity Coverage. Collateral swaps. Total (DA)","Liquidity Coverage. Collateral swaps. Total (DA)",485,1448,,,,1,3,"{9DF2293D-3EED-4EB2-B8EDECE3F604A692}",1476
"T_03.02","Intragroup guarantees - received","Intragroup guarantees - received",472,,32,,,1,3,"{E6939396-37D8-4849-A91CC8516B143117}",1552
"T_03.03","Intragroup guarantees - provided","Intragroup guarantees - provided",473,,33,,,1,3,"{CB6C9F17-8C0E-4485-8D2D86A7FDF2FF46}",1553
"T_08.00","Secured finance, excluding intragroup","Secured finance, excluding intragroup",478,,40,,,1,3,"{31463B8D-A690-4420-876B2C43FBC45087}",1558
"T_12.00","Major counterparties (derivatives, commitments received)","Major counterparties (derivatives, commitments received)",539,,9,,,1,3,"{ED8C1221-3B61-45A2-B27DAC046245C740}",1560
"T_99.00","Identification of entities and other reporting details","Identification of entities and other reporting details",479,,,,,1,3,"{016C3E22-8C41-411D-B48E501E9D795E8A}",1561
"C_17.01.a","Operational risk: Losses and recoveries by business lines and event types in the last year","Operational risk: Losses and recoveries by business lines and event types in the last year",441,1410,,,,1,3,"{3ECCF98E-FA0C-4625-930754C9ACD749D9}",1574
